Village_Name,State_Name,District_Name,Block_Name,Pincode
ABANKELA,odisha,SUNDERGARH,TANGARPALI,770019
ABUN,jharkhand,PALAMU,PANKI,822122
ACHALPUR CHAUDHARY,uttar pradesh,BALRAMPUR,REHRA BAZAR,271307
ADAMTARA,uttar pradesh,BALRAMPUR,PACHPERWA,271206
ADAR,jharkhand,PALAMU,RAMGARH,822110
AHIRAULI,uttar pradesh,BALRAMPUR,GAINSARI,271604
AJABNAGAR RATANPUR,uttar pradesh,BALRAMPUR,TULSIPUR,271208
AKBERPUR KALAN,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271861
AMALABHATA,odisha,NABARANGPUR,TENTULIKHUNTI,764069
AMBAGAON,odisha,KALAHANDI,M.RAMPUR,766102
AMBAPALI,odisha,BOLANGIR,SAINTALA,767032
AMBER NAGAR,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271207
AMRAI,jharkhand,PASHCHIMI SINGHBHUM,GOELKERA,833103
AMVA SAH TOLA,jharkhand,PALAMU,CHHATARPUR,822113
AMWA,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,845105
ANDHARI,jharkhand,PASHCHIMI SINGHBHUM,KUMARDUNGI,833214
ANGARDIHA,jharkhand,PASHCHIMI SINGHBHUM,TANTNAGAR,833214
ANJED BERA,jharkhand,PASHCHIMI SINGHBHUM,KHUNTPANI,833201
ARAR,jharkhand,PALAMU,CHHATARPUR,822113
ARARIA,bihar,SITAMARHI,SONBARSA,843330
ARJUNBILLA,odisha,MAYURBHANJ,SUKRULI,757039
BABANDIHA,jharkhand,DEOGHAR,SARATH,814149
BABHANDI,jharkhand,PALAMU,CHHATARPUR,822110
BABHANPURWA,uttar pradesh,BALRAMPUR,REHRA BAZAR,271307
BABHNI BUZURG,uttar pradesh,BALRAMPUR,UTRAULA,271604
BABUDUMBI,jharkhand,PALAMU,LESLIGANJ,822118
BABURBAN,bihar,SITAMARHI,PARIHAR,843314
BABURBAN,bihar,SITAMARHI,BAJPATTI,843314
BAD TURAMURA,odisha,SUNDERGARH,GURUNDIA,770038
BADAHARA,uttar pradesh,BALRAMPUR,PACHPERWA,271604
BADAJIUNA,odisha,KORAPUT,JEYPORE,764002
BADBAHAL,odisha,BOLANGIR,DEOGAON,767067
BADDHENKIA,odisha,MAYURBHANJ,SULIAPADA,757084
BADGHUMER,odisha,KALAHANDI,DHARAMGARH,766015
BADIGADA,odisha,KORAPUT,LAMTAPUT,764040
BADJHARAN,odisha,MAYURBHANJ,BIJATOLA,757048
BAGAIYA,jharkhand,PALAMU,CHHATARPUR,822113
BAGHA,bihar,SITAMARHI,SONBARSA,843332
BAGHARI,bihar,SITAMARHI,RUNNI SAIDPUR,843323
BAGHMARA,jharkhand,PALAMU,CHHATARPUR,814146
BAHADUR PUR,uttar pradesh,BALRAMPUR,BALRAMPUR,271201
BAHADURGANJ,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271861
BAHALPADAR,odisha,BOLANGIR,PUINTALA,767002
BAHERA,jharkhand,PALAMU,HAIDARNAGAR,843332
BAITHANIA,bihar,PASHCHIM CHAMPARAN,MAJHAULIA,845454
BAKHRI USUFPUR,bihar,SITAMARHI,BAJPATTI,843314
BAKOIYA,jharkhand,PALAMU,DALTONGANJ,822126
BAKUCHIA RUDALPUR,bihar,PASHCHIM CHAMPARAN,JOGAPATTI,845452
BAKULI,bihar,PASHCHIM CHAMPARAN,BAGAHA-II (SIDHAW),845105
BALANDA,odisha,SUNDERGARH,LATHIKATA,770031
BALHA,bihar,SITAMARHI,PUPRI,843325
BALHA MANORATH,bihar,SITAMARHI,BAJPATTI,843320
BALMUA,jharkhand,PALAMU,PANKI,822122
BALUA DEW RAY,bihar,PASHCHIM CHAMPARAN,JOGAPATTI,845452
BANALAT,jharkhand,PALAMU,RAMGARH,822111
BANDARJHULA,bihar,SITAMARHI,SONBARSA,843317
BANDHAKANA,odisha,KALAHANDI,KALAMPUR,766013
BANIJARA,odisha,KALAHANDI,JUNAGARH,766014
BANJIPADAR,odisha,BOLANGIR,TITILAGARH,767033
BANKATWA BAZAR,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271208
BANKI KHURD,jharkhand,PALAMU,PANKI,822122
BANKITAPI,jharkhand,PASHCHIMI SINGHBHUM,CHAKRADHARPUR,833102
BANSI KHURD,jharkhand,PALAMU,MANATU,822123
BARA,jharkhand,DEOGHAR,SARATH,843324
BARADHOWANA,jharkhand,DEOGHAR,DEOGHAR,814142
BARAKESAL,jharkhand,PASHCHIMI SINGHBHUM,GUDRI,835227
BARAPASEYA,jharkhand,PASHCHIMI SINGHBHUM,NOAMUNDI,833218
BARAPUDGIA,odisha,BOLANGIR,BALANGIR,767024
BARAYAL,uttar pradesh,BALRAMPUR,UTRAULA,271604
BARDAAG,jharkhand,PALAMU,PIPRA,822113
BARDAHWA,uttar pradesh,BALRAMPUR,TULSIPUR,271205
BARGADAHI,uttar pradesh,BALRAMPUR,TULSIPUR,271604
BARHETA,bihar,SITAMARHI,RUNNI SAIDPUR,843117
BARUSAI,jharkhand,PASHCHIMI SINGHBHUM,KUMARDUNGI,833214
BARWA,bihar,PASHCHIM CHAMPARAN,MAINATAND,845105
BARWA,bihar,PASHCHIM CHAMPARAN,BAGAHA-I,845105
BARWADIH,jharkhand,PALAMU,HAIDARNAGAR,822115
BASANT PUR,uttar pradesh,BALRAMPUR,TULSIPUR,271207
BASANTPUR,uttar pradesh,BALRAMPUR,PACHPERWA,845453
BASANTPUR,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,845453
BASARIYA,jharkhand,PALAMU,PANKI,822122
BASAWAN BANKAT,uttar pradesh,BALRAMPUR,REHRA BAZAR,271306
BASDIHA,jharkhand,PALAMU,PANDU,822113
BASNA,jharkhand,PALAMU,NAWA BAZAR,822124
BASOTRA,bihar,SITAMARHI,CHORAUT,843319
BASTAMPADA,jharkhand,PASHCHIMI SINGHBHUM,BANDGAON,833102
BATESARA,bihar,PASHCHIM CHAMPARAN,BAGAHA-II (SIDHAW),845105
BATHNA,bihar,PASHCHIM CHAMPARAN,BAIRIA,845438
BATHUARA,bihar,SITAMARHI,PARIHAR,843324
BATHULI,bihar,SITAMARHI,NANPUR,843326
BEERPUR,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271861
BEGUNIA,odisha,MAYURBHANJ,JASHIPUR,757091
BELA BAHADURPUR,bihar,SITAMARHI,NANPUR,843333
BELBHARIYA,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271207
BELDIHI,odisha,SUNDERGARH,LATHIKATA,770038
BELHARA,jharkhand,PALAMU,PANDU,822132
BELI,uttar pradesh,BALRAMPUR,TULSIPUR,271208
BELUR ,odisha,KALAHANDI,M.RAMPUR,766102
BERA KAYAM,jharkhand,PASHCHIMI SINGHBHUM,GUDRI,833105
BETHANIYA,uttar pradesh,BALRAMPUR,PACHPERWA,271206
BETHUIYA DIMUN JOT,uttar pradesh,BALRAMPUR,BALRAMPUR,271201
BHADIAN,bihar,SITAMARHI,NANPUR,843333
BHADWAR,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271208
BHAGTA,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271208
BHAGWANPUR,bihar,PASHCHIM CHAMPARAN,NAUTAN,845438
BHAGWANPUR,uttar pradesh,BALRAMPUR,TULSIPUR,845438
BHAISAHWA,uttar pradesh,BALRAMPUR,PACHPERWA,271206
BHALMANDA,jharkhand,PALAMU,LESLIGANJ,822118
BHALUAHA,bihar,SITAMARHI,SONBARSA,843302
BHALUGODA (CHITRAPOSI),odisha,MAYURBHANJ,KARANJIA,757037
BHALUIYA,uttar pradesh,BALRAMPUR,TULSIPUR,271208
BHALUKONADI,odisha,NABARANGPUR,JHARIGAM,764076
BHANA CHAK,bihar,PASHCHIM CHAMPARAN,MAJHAULIA,845454
BHANDARISANKARA,odisha,SUNDERGARH,BALISANKARA,770014
BHANDARWA KALAN,bihar,PASHCHIM CHAMPARAN,MADHUBANI,845104
BHANGAHA KALAN,uttar pradesh,BALRAMPUR,TULSIPUR,271308
BHANTA WARI,bihar,SITAMARHI,CHORAUT,843320
