Village_Name,State_Name,District_Name,Block_Name,Pincode,Input_Parameter1,Input_Parameter2,Input_Parameter3,Input_Parameter4,Input_Parameter0
Abankela,Odisha,SUNDERGARH,TANGARPALI,770019.0,"ABANKELA,Odisha","ABANKELA,SUNDERGARH,Odisha","ABANKELA,TANGARPALI,Odisha","ABANKELA,TANGARPALI,SUNDERGARH,Odisha","ABANKELA,Odisha,770019.0"
Abun,Jharkhand,PALAMU,PANKI,822122.0,"ABUN,Jharkhand","ABUN,PALAMU,Jharkhand","ABUN,PANKI,Jharkhand","ABUN,PANKI,PALAMU,Jharkhand","ABUN,Jharkhand,822122.0"
Achalpur Chaudhary,Uttar Pradesh,BALRAMPUR,REHRA BAZAR,271307.0,"ACHALPUR CHAUDHARY,Uttar Pradesh","ACHALPUR CHAUDHARY,BALRAMPUR,Uttar Pradesh","ACHALPUR CHAUDHARY,REHRA BAZAR,Uttar Pradesh","ACHALPUR CHAUDHARY,REHRA BAZAR,BALRAMPUR,Uttar Pradesh","ACHALPUR CHAUDHARY,Uttar Pradesh,271307.0"
Adamtara,Uttar Pradesh,BALRAMPUR,PACHPERWA,271206.0,"ADAMTARA,Uttar Pradesh","ADAMTARA,BALRAMPUR,Uttar Pradesh","ADAMTARA,PACHPERWA,Uttar Pradesh","ADAMTARA,PACHPERWA,BALRAMPUR,Uttar Pradesh","ADAMTARA,Uttar Pradesh,271206.0"
Adar,Jharkhand,PALAMU,RAMGARH,822110.0,"ADAR,Jharkhand","ADAR,PALAMU,Jharkhand","ADAR,RAMGARH,Jharkhand","ADAR,RAMGARH,PALAMU,Jharkhand","ADAR,Jharkhand,822110.0"
Ahirauli,Uttar Pradesh,BALRAMPUR,GAINSARI,271604.0,"AHIRAULI,Uttar Pradesh","AHIRAULI,BALRAMPUR,Uttar Pradesh","AHIRAULI,GAINSARI,Uttar Pradesh","AHIRAULI,GAINSARI,BALRAMPUR,Uttar Pradesh","AHIRAULI,Uttar Pradesh,271604.0"
Ajabnagar Ratanpur,Uttar Pradesh,BALRAMPUR,TULSIPUR,271208.0,"AJABNAGAR RATANPUR,Uttar Pradesh","AJABNAGAR RATANPUR,BALRAMPUR,Uttar Pradesh","AJABNAGAR RATANPUR,TULSIPUR,Uttar Pradesh","AJABNAGAR RATANPUR,TULSIPUR,BALRAMPUR,Uttar Pradesh","AJABNAGAR RATANPUR,Uttar Pradesh,271208.0"
Akberpur Kalan,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,271861.0,"AKBERPUR KALAN,Uttar Pradesh","AKBERPUR KALAN,BALRAMPUR,Uttar Pradesh","AKBERPUR KALAN,HARAIYA SATGHARWA,Uttar Pradesh","AKBERPUR KALAN,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","AKBERPUR KALAN,Uttar Pradesh,271861.0"
Amalabhata,Odisha,NABARANGPUR,TENTULIKHUNTI,764069.0,"AMALABHATA,Odisha","AMALABHATA,NABARANGPUR,Odisha","AMALABHATA,TENTULIKHUNTI,Odisha","AMALABHATA,TENTULIKHUNTI,NABARANGPUR,Odisha","AMALABHATA,Odisha,764069.0"
Ambagaon,Odisha,KALAHANDI,M.RAMPUR,766102.0,"AMBAGAON,Odisha","AMBAGAON,KALAHANDI,Odisha","AMBAGAON,M.RAMPUR,Odisha","AMBAGAON,M.RAMPUR,KALAHANDI,Odisha","AMBAGAON,Odisha,766102.0"
Ambapali,Odisha,BOLANGIR,SAINTALA,767032.0,"AMBAPALI,Odisha","AMBAPALI,BOLANGIR,Odisha","AMBAPALI,SAINTALA,Odisha","AMBAPALI,SAINTALA,BOLANGIR,Odisha","AMBAPALI,Odisha,767032.0"
