Village_Name,Block_Name,District_Name,State_Name,Pincode
MUNDIBEDA,RAIGHAR,NABARANGPUR,ODISHA,764074
HATIGAM,RAIGHAR,NABARANGPUR,ODISHA,#N/A
JANWAMAU,KALAKANKER,PRATAPGARH,UTTAR PRADESH,#N/A
HULASGRAGH,LALGANJ,PRATAPGARH,UTTAR PRADESH,#N/A
MADHAIPUR KURMI,PARASPUR,GONDA,UTTAR PRADESH,#N/A
MERAI,TENTULIKHUNTI,NABARANGPUR,ODISHA,764069
PATHAR,TARABGANJ,GONDA,UTTAR PRADESH,815353
PATIJIYA KHURD,CHAPIA,GONDA,UTTAR PRADESH,#N/A
UJJAIN LOHIAR,HARSIDDHI,PURBA CHAMPARAN,BIHAR,#N/A
CHARIYA,PATTI,PRATAPGARH,UTTAR PRADESH,#N/A
GENDURAHI,MEJA,ALLAHABAD,UTTAR PRADESH,#N/A
HARAIYA JHUMMAN,ITIYATHOK,GONDA,UTTAR PRADESH,#N/A
JAMBOGUDA,PAPADAHANDI,NABARANGPUR,ODISHA,#N/A
KEBIDI,JEYPORE,KORAPUT,ODISHA,766015
KHODHA,CHIRAIYA,PURBA CHAMPARAN,BIHAR,#N/A
LIMAGUDA,UMERKOTE,NABARANGPUR,ODISHA,764073
RAJEPUR CHAITA,PAKRIDAYAL,PURBA CHAMPARAN,BIHAR,#N/A
SEMARA LABEDAHA,MADHUBANI,PASHCHIM CHAMPARAN,BIHAR,845104
SILAUDHI,GAURA,PRATAPGARH,UTTAR PRADESH,#N/A
ANEHRA,RAMPUR-SANGRAMGARH,PRATAPGARH,UTTAR PRADESH,#N/A
ASHAWAN DAUD PUR,HANDIA,ALLAHABAD,UTTAR PRADESH,#N/A
BAJRAGADA,KOSAGUMUDA,NABARANGPUR,ODISHA,#N/A
BEILIYA,WAZIRGANJ,GONDA,UTTAR PRADESH,#N/A
BELA BAHADURPUR,NANPUR,SITAMARHI,BIHAR,843333
BOHITA,SATBARWA,PALAMU,JHARKHAND,822126
BORDEI,PAPADAHANDI,NABARANGPUR,ODISHA,#N/A
CHARGAHAN,TURKAULIA,PURBA CHAMPARAN,BIHAR,#N/A
CHHATABEDA,RAIGHAR,NABARANGPUR,ODISHA,764074
CHIURAHI,MADHUBANI,PASHCHIM CHAMPARAN,BIHAR,845104
