lat,lng,address,Place
22.0848844,83.9479637,"Tangarpali, Odisha, India","ABANKELA,TANGARPALI,SUNDERGARH,Odisha"
24.0357114,84.47763719999999,"Panki, Jharkhand 822122, India","ABUN,PANKI,PALAMU,Jharkhand"
27.144913,82.2805292,"Rehra Bazar, Rudhuali, Uttar Pradesh 271307, India","ACHALPUR CHAUDHARY,REHRA BAZAR,BALRAMPUR,Uttar Pradesh"
27.5181738,82.64614189999999,"Pachperwa, Uttar Pradesh 271206, India","ADAMTARA,PACHPERWA,BALRAMPUR,Uttar Pradesh"
23.8857299,83.9559036,"Horanda Alias Ramgarh, Jharkhand 822132, India","ADAR,RAMGARH,PALAMU,Jharkhand"
27.2984296,82.7468511,"Ahirauli, Uttar Pradesh 272192, India","AHIRAULI,GAINSARI,BALRAMPUR,Uttar Pradesh"
27.614978,82.372422,"Room no 53 Ratanpur Post Nakiniya Thana Ajabnagar, Tulsipur, Uttar Pradesh 271208, India","AJABNAGAR RATANPUR,TULSIPUR,BALRAMPUR,Uttar Pradesh"
27.6377845,82.29905839999999,"Harraiya Satgharwa, Uttar Pradesh 271208, India","AKBERPUR KALAN,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
19.2442214,83.4310031,"Amalabhata, Odisha 765017, India","AMALABHATA,TENTULIKHUNTI,NABARANGPUR,Odisha"
20.194033,83.51696129999999,"Madanpur Rampur, Odisha 766102, India","AMBAGAON,M.RAMPUR,KALAHANDI,Odisha"
20.4391269,83.344206,"Saintala, Odisha 767032, India","AMBAPALI,SAINTALA,BOLANGIR,Odisha"
27.6377845,82.29905839999999,"Harraiya Satgharwa, Uttar Pradesh 271208, India","AMBER NAGAR,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
22.5075703,85.3769159,"Goilkera, Jharkhand 833103, India","AMRAI,GOELKERA,PASHCHIMI SINGHBHUM,Jharkhand"
24.3733078,84.1929949,"Bara, Palamu, NH-98, Aurangabad, Road, Chhatarpur, Jharkhand 822113, India","AMVA SAH TOLA,CHHATARPUR,PALAMU,Jharkhand"
27.3159844,82.41703780000002,"Amwa Deoria, Uttar Pradesh 271604, India","AMWA,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
22.2132074,85.87676739999999,"Kumardungi, Jharkhand 833214, India","ANDHARI,KUMARDUNGI,PASHCHIMI SINGHBHUM,Jharkhand"
22.452488,85.9443553,"Tantnagar, Jharkhand 833204, India","ANGARDIHA,TANTNAGAR,PASHCHIMI SINGHBHUM,Jharkhand"
22.6444925,85.8079675,"Unnamed Road, Pandrasali, Matkobera, Jharkhand 833101, India","ANJED BERA,KHUNTPANI,PASHCHIMI SINGHBHUM,Jharkhand"
24.3746769,84.1936203,"Chhatarpur, Jharkhand 822113, India","ARAR,CHHATARPUR,PALAMU,Jharkhand"
26.7960068,85.5631398,"Araria, Bihar 843330, India","ARARIA,SONBARSA,SITAMARHI,Bihar"
21.9228385,85.8652559,"Sukruli, Odisha 757039, India","ARJUNBILLA,SUKRULI,MAYURBHANJ,Odisha"
24.2397596,86.83940729999999,"Sarath, Jharkhand 814149, India","BABANDIHA,SARATH,DEOGHAR,Jharkhand"
24.3733078,84.1929949,"Bara, Palamu, NH-98, Aurangabad, Road, Chhatarpur, Jharkhand 822113, India","BABHANDI,CHHATARPUR,PALAMU,Jharkhand"
27.1830686,82.2765909,"PRATHMIK KENDRA, near BLOCK, Rehra Bazar, Rehra, Uttar Pradesh 271306, India","BABHANPURWA,REHRA BAZAR,BALRAMPUR,Uttar Pradesh"
27.3009504,82.4630904,"Babhni Buzurg, Uttar Pradesh 271604, India","BABHNI BUZURG,UTRAULA,BALRAMPUR,Uttar Pradesh"
24.0376814,84.2094347,"Lesliganj, Jharkhand 822118, India","BABUDUMBI,LESLIGANJ,PALAMU,Jharkhand"
26.7028183,85.6258268,"Baburban, Bihar 843324, India","BABURBAN,PARIHAR,SITAMARHI,Bihar"
26.5614145,85.6100773,"Bazpatti, Bihar 843314, India","BABURBAN,BAJPATTI,SITAMARHI,Bihar"
21.8527378,84.7805097,"Gurundia, Odisha 770043, India","BAD TURAMURA,GURUNDIA,SUNDERGARH,Odisha"
27.5120117,82.6419317,"Pachperwa, Uttar Pradesh 271206, India","BADAHARA,PACHPERWA,BALRAMPUR,Uttar Pradesh"
18.9205415,82.4996398,"Badajiuna, Odisha 764002, India","BADAJIUNA,JEYPORE,KORAPUT,Odisha"
20.5359137,83.5523205,"Badbahal, Odisha 767067, India","BADBAHAL,DEOGAON,BOLANGIR,Odisha"
22.028232,86.9448841,"Suliapada, Odisha 757022, India","BADDHENKIA,SULIAPADA,MAYURBHANJ,Odisha"
19.8204684,82.7220253,"Kalahandi, Odisha 766015, India","BADGHUMER,DHARAMGARH,KALAHANDI,Odisha"
18.5319475,82.4481944,"Badigada, Odisha, India","BADIGADA,LAMTAPUT,KORAPUT,Odisha"
22.2504728,86.2501429,"Badjharan, Odisha, India","BADJHARAN,BIJATOLA,MAYURBHANJ,Odisha"
24.3723115,84.1963695,"Bagaiya Rd, Chhatarpur, Jharkhand 822113, India","BAGAIYA,CHHATARPUR,PALAMU,Jharkhand"
26.7582339,85.5071469,"Bagaha, Bihar, India","BAGHA,SONBARSA,SITAMARHI,Bihar"
26.3726481,85.4927026,"Runni Saidpur Madhya, Bihar, India","BAGHARI,RUNNI SAIDPUR,SITAMARHI,Bihar"
24.3746769,84.1936203,"Chhatarpur, Jharkhand 822113, India","BAGHMARA,CHHATARPUR,PALAMU,Jharkhand"
27.6227174,82.03254009999999,"Bahadurpur, Uttar Pradesh 271831, India","BAHADUR PUR,BALRAMPUR,BALRAMPUR,Uttar Pradesh"
27.5856724,82.1496049,"bahadurganj bazar Bahadurganj bazar, Bajar Dih, Uttar Pradesh 271861, India","BAHADURGANJ,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
20.7175821,83.51301769999999,"Puintala, Odisha 767001, India","BAHALPADAR,PUINTALA,BOLANGIR,Odisha"
24.5016409,83.947225,"Bahera Rd, Jharkhand, India","BAHERA,HAIDARNAGAR,PALAMU,Jharkhand"
26.7994224,84.6204403,"Majhaulia, Bihar 845454, India","BAITHANIA,MAJHAULIA,PASHCHIM CHAMPARAN,Bihar"
26.5614145,85.6100773,"Bazpatti, Bihar 843314, India","BAKHRI USUFPUR,BAJPATTI,SITAMARHI,Bihar"
24.0413657,84.06268790000001,"Sarvodaya Nagar, Daltonganj, Jharkhand 822101, India","BAKOIYA,DALTONGANJ,PALAMU,Jharkhand"
26.8651447,84.34763210000001,"Jogapatti, Bihar 845452, India","BAKUCHIA RUDALPUR,JOGAPATTI,PASHCHIM CHAMPARAN,Bihar"
27.243445,84.0299601,"Sidhaw, Bihar 845101, India","BAKULI,BAGAHA-II (SIDHAW),PASHCHIM CHAMPARAN,Bihar"
22.1834413,84.7367799,"Balanda, Odisha 770031, India","BALANDA,LATHIKATA,SUNDERGARH,Odisha"
26.4698688,85.69741239999999,"Pupri, Bihar, India","BALHA,PUPRI,SITAMARHI,Bihar"
26.5406771,85.7025453,"Balha Manorath, Bihar 843320, India","BALHA MANORATH,BAJPATTI,SITAMARHI,Bihar"
24.0423161,84.4553335,"Tarwadih, Jharkhand 822122, India","BALMUA,PANKI,PALAMU,Jharkhand"
26.9030862,84.3423734,"Balua Dew Ray, Bihar 845451, India","BALUA DEW RAY,JOGAPATTI,PASHCHIM CHAMPARAN,Bihar"
23.8426337,83.9902982,"Banalat, Jharkhand, India","BANALAT,RAMGARH,PALAMU,Jharkhand"
26.7728914,85.5997931,"Bandarjhula, Bihar 843330, India","BANDARJHULA,SONBARSA,SITAMARHI,Bihar"
19.6140313,82.8869919,"Kalampur, Odisha 766013, India","BANDHAKANA,KALAMPUR,KALAHANDI,Odisha"
19.7751652,82.9138487,"Banijora, Odisha 766014, India","BANIJARA,JUNAGARH,KALAHANDI,Odisha"
20.2585202,83.23320199999999,"Banjipadar, Odisha, India","BANJIPADAR,TITILAGARH,BOLANGIR,Odisha"
