City_Or_Village,State,District,Pincode,Inst_Type,Institution_Name,Institution_Code,Ip_Sent,Ip_Type,Ip_Continent_Code,Ip_Continent_Came,Ip_Country_Code,Ip_Country_Name,Ip_Region_Code,Ip_Region_name,Ip_City,Ip_Zip,Ip_Location,Ip_Time_Zone,Ip_Currency,Ip_Connection,Ip_Latitude,Ip_Longitude,Inst_Latitude,Inst_Longitude,Haversine_Distance,Relevant_Date,Runtime
,JAMMU AND KASHMIR,ANANTNAG,192101,NVCT,Govt Industrial Training Institute Anantnag,GR01000003,117.222.195.28,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Jammu,180007,,,,,32.763599395752,74.8683013916016,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,ANANTNAG,192101,NVCT,Govt Industrial Training Institute Anantnag,GR01000003,46.101.244.211,ipv4,EU,Europe,DE,Germany,HE,Hesse,Frankfurt am Main,60311,,,,,50.1109008789062,8.68210029602051,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,BARAMULLA,193101,NVCT,Govt Industrial Training Institute Baramulla,GR01000004,169.149.45.212,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Srinagar,190019,,,,,34.0162010192871,74.8097991943359,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,KATHUA,184142,NVCT,Govt Industrial Training Institute Hiranagar,GR01000006,159.203.197.196,ipv4,NA,North America,US,United States,CA,California,San Francisco,94117,,,,,37.7691688537598,-122.442497253418,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,KISHTWAR,182204,NVCT,Govt Industrial Training Institute Kishtwar,GR01000007,117.220.138.120,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Jammu,180007,,,,,32.763599395752,74.8683013916016,33.3176,75.7649,103.82,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,BANDIPORA,193502,NVCT,Govt Industrial Training Institute Bandipora,GR01000008,66.228.61.41,ipv4,NA,North America,US,United States,GA,Georgia,Atlanta,30309,,,,,33.7984580993652,-84.3882827758789,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,SHOPIAN,192303,NVCT,Govt Industrial Training Institute Shopian,GR01000013,206.189.153.224,ipv4,AS,Asia,SG,Singapore,01,South West,Singapore,,,,,,1.32000005245209,103.819801330566,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,SHOPIAN,192303,NVCT,Govt Industrial Training Institute Shopian,GR01000013,173.230.131.202,ipv4,NA,North America,US,United States,GA,Georgia,Atlanta,30309,,,,,33.7984580993652,-84.3882827758789,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,SHOPIAN,192303,NVCT,Govt Industrial Training Institute Shopian,GR01000013,169.149.57.212,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Srinagar,190019,,,,,34.0162010192871,74.8097991943359,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,SHOPIAN,192303,NVCT,Govt Industrial Training Institute Shopian,GR01000013,169.149.55.163,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Srinagar,190019,,,,,34.0162010192871,74.8097991943359,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,SHOPIAN,192303,NVCT,Govt Industrial Training Institute Shopian,GR01000013,169.149.55.138,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Srinagar,190019,,,,,34.0162010192871,74.8097991943359,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,SHOPIAN,192303,NVCT,Govt Industrial Training Institute Shopian,GR01000013,169.149.45.236,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Srinagar,190019,,,,,34.0162010192871,74.8097991943359,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,SHOPIAN,192303,NVCT,Govt Industrial Training Institute Shopian,GR01000013,169.149.1.14,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Srinagar,190019,,,,,34.0162010192871,74.8097991943359,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,SHOPIAN,192303,NVCT,Govt Industrial Training Institute Shopian,GR01000013,167.99.76.178,ipv4,AS,Asia,SG,Singapore,01,South West,Singapore,,,,,,1.32000005245209,103.819801330566,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,SHOPIAN,192303,NVCT,Govt Industrial Training Institute Shopian,GR01000013,34.232.105.56,ipv4,NA,North America,US,United States,VA,Virginia,Ashburn,20147,,,,,39.043701171875,-77.4741973876953,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,RAMBAN,182144,NVCT,Govt Industrial Training Institute Ramban,GR01000014,205.253.199.103,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Jammu,181221,,,,,32.8120193481445,74.9033432006836,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,RAMBAN,182144,NVCT,Govt Industrial Training Institute Ramban,GR01000014,169.149.1.97,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Srinagar,190019,,,,,34.0162010192871,74.8097991943359,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,KUPWARA,193222,NVCT,Govt Industrial Training Institute Kupwara,GR01000017,205.253.163.215,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Jammu,181221,,,,,32.8120193481445,74.9033432006836,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,KUPWARA,193222,NVCT,Govt Industrial Training Institute Kupwara,GR01000017,169.149.1.126,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Srinagar,190019,,,,,34.0162010192871,74.8097991943359,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,KUPWARA,193222,NVCT,Govt Industrial Training Institute Kupwara,GR01000017,169.149.0.202,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Srinagar,190019,,,,,34.0162010192871,74.8097991943359,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,KUPWARA,193222,NVCT,Govt Industrial Training Institute Kupwara,GR01000017,169.149.0.160,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Srinagar,190019,,,,,34.0162010192871,74.8097991943359,,,,2021-04-29,2021-04-29 13:38:03
,JAMMU AND KASHMIR,BADGAM,191111,NVCT,Govt Industrial Training Institute Budgam,GR01000018,169.149.19.162,ipv4,AS,Asia,IN,India,JK,Jammu and Kashmir,Srinagar,190019,,,,,34.0162010192871,74.8097991943359,,,,2021-04-29,2021-04-29 13:38:03
