IPAPI.com,IPStack,IP_Address,Y/N
Sangod,Keshorai P?tan,117.208.75.60,0
Helsinki,Helsinki,185.212.149.253,1
Helsinki,Helsinki,185.212.149.242,1
Baddi,Srinagar,169.149.62.172,0
Samba,Srinagar,169.149.60.125,0
Baramula,Srinagar,169.149.58.117,0
Srinagar,Pulwama,169.149.57.129,0
Srinagar,Srinagar,169.149.57.84,1
Jammu,Srinagar,169.149.56.139,0
Jammu,Srinagar,169.149.53.91,0
Jammu,Srinagar,169.149.52.225,0
New Delhi,Srinagar,169.149.50.43,0
New Delhi,Srinagar,169.149.48.165,0
New Delhi,Srinagar,169.149.48.65,0
New Delhi,Srinagar,169.149.48.61,0
Riasi,Srinagar,169.149.47.150,0
Srinagar,Srinagar,169.149.45.156,1
Delhi,Srinagar,169.149.42.54,0
Delhi,Srinagar,169.149.42.47,0
Delhi,Srinagar,169.149.42.1,0
Delhi,Srinagar,169.149.41.2,0
New Delhi,Srinagar,169.149.40.221,0
New Delhi,Srinagar,169.149.40.141,0
Hambowal,Srinagar,169.149.39.183,0
Srinagar,Srinagar,169.149.38.143,1
Srinagar,Srinagar,169.149.38.94,1
Chandigarh,Srinagar,169.149.37.120,0
Chandigarh,Srinagar,169.149.37.11,0
Handwara,Kulgam,169.149.36.62,0
Pulwama,Srinagar,169.149.32.49,0
Samba,Srinagar,169.149.31.234,0
Samba,Srinagar,169.149.31.0,0
Samba,Srinagar,169.149.30.242,0
Srinagar,Srinagar,169.149.29.96,1
Srinagar,Srinagar,169.149.28.71,1
Srinagar,Srinagar,169.149.28.51,1
Srinagar,Srinagar,169.149.28.19,1
Anantnag,Srinagar,169.149.27.113,0
Anantnag,Srinagar,169.149.27.51,0
Anantnag,Srinagar,169.149.26.178,0
Anantnag,Srinagar,169.149.26.163,0
Ludhiana,Srinagar,169.149.25.205,0
Ludhiana,Srinagar,169.149.25.191,0
Ludhiana,Srinagar,169.149.25.145,0
Ludhiana,Srinagar,169.149.24.113,0
Handwara,Srinagar,169.149.23.97,0
Handwara,Srinagar,169.149.23.71,0
Ludhiana,Srinagar,169.149.22.102,0
Sultanpur,Srinagar,169.149.20.167,0
Srinagar,Srinagar,169.149.19.74,1
Nawan,Pulwama,169.149.18.218,0
Nawan,Srinagar,169.149.18.165,0
Nawan,Srinagar,169.149.18.147,0
Nawan,Srinagar,169.149.18.79,0
Palwal,Srinagar,169.149.17.189,0
Palwal,Srinagar,169.149.16.105,0
Palwal,Srinagar,169.149.16.70,0
Palwal,Srinagar,169.149.16.5,0
Hambowal,Srinagar,169.149.15.66,0
Hambowal,Srinagar,169.149.15.31,0
Delhi,Srinagar,169.149.11.102,0
Delhi,Srinagar,169.149.11.73,0
Delhi,Srinagar,169.149.10.124,0
Delhi,Srinagar,169.149.7.246,0
Delhi,Srinagar,169.149.7.232,0
Delhi,Srinagar,169.149.7.148,0
Delhi,Srinagar,169.149.7.99,0
Hamirpur,Srinagar,169.149.5.27,0
Hamirpur,Srinagar,169.149.4.253,0
Dinanagar,Srinagar,169.149.3.173,0
Jalandhar,Srinagar,169.149.2.152,0
Srinagar,Srinagar,169.149.0.46,1
Ludhiana,Dor?ha,157.39.98.236,0
Chandigarh,Ludhi?na,157.39.81.72,0
Srinagar,Srinagar,150.242.253.124,1
Okhla,Srinagar,137.59.1.245,0
Okhla,Srinagar,137.59.1.229,0
Hyderabad,Noida,125.19.180.66,0
Mohali,Mumbai,118.185.112.85,0
Jammu,Jammu,117.222.195.28,1
Srinagar,Srinagar,117.221.200.19,1
Pulwama,Vapi,114.69.228.70,0
New Delhi,Srinagar,103.227.117.163,0
B?lip?ra,Th?ne,103.59.143.130,0
B?lip?ra,Th?ne,103.59.143.129,0
Aligarh,Al?garh,103.55.108.133,0
Delhi,Varanasi,59.144.191.17,0
Singapore,Singapore,52.221.221.151,1
Mumbai,Mumbai,15.206.91.206,1
Srinagar,Chennai,14.139.240.145,0
Mysore,Mysore,117.216.160.220,1
Mangalore,Bantv?l,117.192.112.164,0
Jammu,,103.105.239.107,0
Jodhpur,Banar,59.95.159.215,0
Jodhpur,Jodhpur,59.95.158.206,1
Sikar,Guhala,59.89.184.189,0
Jaipur,Naraina,157.47.206.98,0
Imphal,Damchara,47.29.3.111,0
Malappuram,Malappuram,117.193.122.106,1
Jammu,Jammu,205.253.163.215,1
Delhi,Srinagar,169.149.42.145,0
Anantnag,Srinagar,169.149.26.39,0
Qazigund,Srinagar,169.149.9.75,0
Dehradun,Dehra D?n,103.84.238.12,0
Amritsar,Amritsar,117.199.88.124,1
Bathinda,Nathana,103.107.97.153,0
Bathinda,Nathana,103.107.97.76,0
Bathinda,Nathana,103.107.97.25,0
Bathinda,Nathana,103.107.96.217,0
Bathinda,Nathana,103.107.96.129,0
Mohali,Chand?garh,202.164.44.85,0
Ludhiana,Dor?ha,27.255.131.194,0
Gurdaspur,Dh?riw?l,117.206.103.223,0
Hyderabad,Hyderabad,183.83.245.228,1
Jammu,Jammu,117.203.202.224,1
Ernakulam,Vaikam,103.66.79.160,0
Ernakulam,Vaikam,103.66.79.147,0
Vijayawada,Hyderabad,103.245.197.170,0
Sikar,S?kar,103.217.152.221,0
Bathinda,Nathana,103.107.96.63,0
Bhopal,Bhop?l,103.122.228.79,0
Bhopal,Bhop?l,103.103.215.19,0
Jalgaon,P?chora,61.2.151.176,0
Nashik,Satgaon,61.2.148.33,0
Amritsar,Amritsar,103.232.151.204,1
Bhopal,Ahmedabad,103.134.248.58,0
Vaddangi,R?jahmundry,117.239.51.66,0
Guwahati,Kolkata,164.100.146.19,0
Kolkata,Airoli,157.43.246.120,0
Krishnanagar,Airoli,157.43.196.150,0
Kolkata,Durgapur,157.43.166.105,0
Kolkata,K?toya,47.11.211.146,0
Kolkata,Mumbai,42.110.246.98,0
New Delhi,Haridwar,103.230.152.102,0
Bengaluru,Bhop?l,125.23.166.214,0
Imphal,Pdengshakap,47.29.32.21,0
Shillong,Badarpur,47.29.4.47,0
Guwahati,Pakariamukh,47.29.225.60,0
Guwahati,Guwahati,47.29.222.13,1
Guwahati,Morigaon,47.29.142.255,0
Chandigarh,Dor?ha,157.39.45.232,0
Patna,B?rh,47.9.236.237,0
Anegundi,Gubbi,210.212.202.50,0
Nagpur,Nagpur,103.252.171.74,1
Nagpur,Nagpur,103.252.171.2,1
Ahmedabad,Mumbai,112.110.78.61,0
Ahmedabad,New Delhi,106.77.131.214,0
Ahmedabad,Kheda,106.77.74.223,0
Ahmedabad,Kheda,106.76.82.117,0
Bengaluru,Amb?la,112.133.237.44,0
Guwahati,Sonapur,47.29.239.77,0
Patna,Kumar Bazidpur,106.207.43.2,0
Anantapur,Dharmavaram,117.199.243.45,0
Ludhiana,Dor?ha,103.66.206.3,0
Chandigarh,Dor?ha,223.225.138.155,0
Ludhiana,Dor?ha,223.225.135.198,0
Chandigarh,Dor?ha,223.225.133.195,0
Mohali,Dor?ha,223.225.129.141,0
Mohali,Dor?ha,223.185.37.110,0
Mohali,Dor?ha,223.185.2.113,0
Ludhiana,Airoli,157.39.168.127,0
Ludhiana,Airoli,157.39.163.174,0
Ludhiana,Ludhi?na,157.39.144.21,0
Ludhiana,Dor?ha,157.39.118.161,0
Ludhiana,Dor?ha,157.39.36.241,0
Samba,Srinagar,169.149.30.181,0
Samba,Srinagar,169.149.30.122,0
Ludhiana,Srinagar,169.149.24.205,0
Ludhiana,Srinagar,169.149.22.207,0
New Delhi,Srinagar,169.149.21.9,0
Indore,Narsimhapur,47.247.37.117,0
Pollachi,Pollachi,218.248.42.137,1
Indore,Indore,103.253.148.232,1
Bathinda,Bathinda,103.41.46.192,1
Bardoli,B?rdoli,103.249.24.59,0
Ahmedabad,Dantali,103.106.20.42,0
Surat,Surat,123.201.110.186,1
Ahmedabad,Soj?tra,106.213.170.19,0
Morvi,Morbi,103.132.240.217,0
Ahmedabad,Soj?tra,157.32.237.72,0
Ahmedabad,Anand,59.94.197.107,0
Ahmedabad,Soj?tra,49.34.141.250,0
Ahmedabad,Soj?tra,49.34.70.191,0
Bardoli,B?rdoli,103.249.24.44,0
Rajkot,R?jkot,119.160.199.116,0
Panchgani,New Delhi,117.240.19.146,0
Gandhinagar,Bhavnagar,14.139.110.90,0
Ankleshwar,Ankleshwar,103.102.59.186,1
Anand,Anand,202.129.240.11,1
Bhatha,Ahmedabad,103.238.13.84,0
Patna,Airoli,136.232.3.78,0
Visnagar,Karamsad,103.206.208.211,0
Ahmedabad,Ahmedabad,103.226.185.250,1
Rajkot,Mumbai,14.139.110.53,0
Rajkot,R?jkot,119.160.192.198,0
Bardoli,B?rdoli,103.249.24.34,0
Ahmedabad,Soj?tra,49.34.121.127,0
Rajkot,R?jkot,14.139.110.40,0
Diu,Pati?la,61.0.160.87,0
Surendranagar,Jamnagar,59.90.89.137,0
Rajkot,R?jkot,1.38.181.61,0
Rajkot,Sultanpur,117.198.162.56,0
Rajkot,Bagasra,61.0.178.32,0
Rajkot,R?jkot,27.54.179.38,0
Ahmedabad,Soj?tra,106.76.94.47,0
Gandhidham,Bhuj,59.97.108.58,0
Surat,Surat,103.53.167.50,1
Surat,Surat,45.126.254.167,1
Vadodara,Vadodara,219.91.213.255,1
Vadodara,Vadodara,219.91.213.187,1
Vadodara,Vadodara,203.187.228.182,1
Vadodara,Vadodara,203.88.145.158,1
Vadodara,Vadodara,203.88.145.109,1
Vadodara,Vadodara,203.88.145.95,1
Vadodara,Vadodara,123.201.155.203,1
Gandhinagar,Chhala,202.131.126.186,0
Porbandar,Porbandar,36.255.156.129,1
Ahmedabad,Ahmedabad,59.88.126.107,1
Ahmedabad,Ahmedabad,59.88.126.88,1
Vadodara,Savli,27.109.21.218,0
Rajkot,Ahmedabad,43.252.60.154,0
Ahmedabad,Soj?tra,157.32.159.2,0
Vadodara,Dabhoi,210.212.136.97,0
Pimpri-Chinchwad,Dabhoi,61.0.169.186,0
Rajkot,R?jkot,223.255.247.194,0
Rajkot,Sultanpur,117.198.160.156,0
Guntur,Tiladru,106.217.204.9,0
Ahmedabad,Ahmedabad,120.72.91.154,1
Indore,Ahmedabad,14.98.139.234,0
Ujjain,Ujjain,59.95.152.69,1
Ahmedabad,Mod?sa,14.139.111.85,0
Borsad,Borsad,103.85.228.162,1
Ahmedabad,Ahmedabad,203.109.112.210,1
Chennai,Ahmedabad,182.75.143.126,0
Vadodara,Dabhoi,180.211.118.146,0
Godhra,Godhra,114.31.156.78,1
Godhra,Godhra,114.31.156.64,1
Rajkot,New Delhi,14.139.110.2,0
Mumbai,Powai,49.36.12.17,0
Mumbai,Th?ne,49.36.8.13,0
Navsari,Vals?d,14.139.114.162,0
Anand,Anand,103.251.250.81,1
Navsari,Navsari,139.5.103.10,1
Rajkot,R?jkot,180.211.121.182,0
Rajkot,R?jkot,117.203.81.136,0
Rajkot,Sultanpur,117.198.167.158,0
Ahmedabad,Soj?tra,157.32.52.223,0
Ahmedabad,Kheda,106.76.82.16,0
Ahmedabad,Soj?tra,49.34.133.81,0
Ahmedabad,Kapadvanj,42.106.44.207,0
Mumbai,Amroli,223.184.245.229,0
Anand,Mumbai,202.129.241.225,0
Ahmedabad,Ahmedabad,219.91.129.105,1
Ahmedabad,Ahmedabad,103.94.195.97,1
Ahmedabad,Ahmedabad,103.94.195.46,1
Ahmedabad,Ahmedabad,103.94.195.32,1
Ahmedabad,Ahmedabad,103.94.195.18,1
Ahmedabad,Ahmedabad,103.94.195.10,1
Surat,Ahmedabad,27.54.181.206,0
Anand,Anand,202.129.240.131,1
Rajkot,Sultanpur,59.88.128.229,0
Junagadh,J?n?gadh,45.113.106.11,0
Surat,Mumbai,42.108.203.203,0
Rajkot,Ahmedabad,43.252.62.60,0
Vapi,Vapi,103.36.82.28,1
Chhapi,M?nsa,14.139.122.252,0
Ahmedabad,Ahmedabad,61.2.103.32,1
Ahmedabad,Ahmedabad,202.131.100.165,1
Rajkot,Sultanpur,117.215.42.40,0
Rajkot,Sultanpur,117.198.175.243,0
Surat,Kosamba,180.211.116.142,0
Ahmedabad,Soj?tra,157.32.230.197,0
Ahmedabad,Soj?tra,157.32.151.78,0
Ahmedabad,Golana,157.32.129.167,0
Ahmedabad,Soj?tra,157.32.66.6,0
Gandhinagar,Mumbai,112.110.65.47,0
Ahmedabad,Vasa,106.77.68.55,0
Bhilai,Durg,117.247.61.218,0
Gandhinagar,Kalol,43.228.229.99,0
Ahmedabad,Khambh?t,49.34.74.73,0
Rajkot,R?jkot,27.54.162.180,0
Hyderabad,New Delhi,106.66.49.52,0
Surat,Surat,202.71.21.9,1
Mumbai,Borivli,49.36.2.75,0
Rajkot,Ahmedabad,180.211.109.178,0
Gandhinagar,Ahmedabad,180.211.113.54,0
Anand,Anand,117.204.211.22,1
Ahmedabad,Mumbai,117.247.95.211,0
Ahmedabad,Soj?tra,103.234.162.225,0
Vadasinor,Ahmedabad,103.136.73.2,0
Ahmedabad,Soj?tra,49.34.136.176,0
Rajkot,R?jkot,180.150.242.30,0
Rajkot,R?jkot,14.139.121.34,0
Vadodara,Vadodara,117.222.79.69,1
Rajkot,Ahmedabad,27.54.179.180,0
Vadodara,Savli,120.72.92.253,0
Ahmedabad,Ahmedabad,113.193.208.130,1
Ahmedabad,Jagudan,202.131.96.66,0
Mumbai,Bhar?ch,14.139.108.7,0
Hyderabad,Hyderabad,183.83.236.99,1
Ahmedabad,Ahmedabad,103.254.245.170,1
Adalaj,Ahmedabad,43.228.231.5,0
Trivandrum,Bachhraon,117.254.36.207,0
Godhra,Godhra,114.31.156.14,1
Bhavnagar,Bengaluru,117.211.167.134,0
Ahmedabad,Soj?tra,157.32.93.80,0
Trivandrum,Amlaha,117.254.37.98,0
Rajkot,Sultanpur,117.215.43.226,0
Rajkot,Sultanpur,117.215.42.89,0
Odisha,Bengaluru,117.207.4.245,0
Rajkot,Charkhardi,117.198.166.11,0
Rajkot,Sultanpur,117.198.164.14,0
Bhavnagar,Bengaluru,117.211.167.164,0
Rajkot,R?jkot,1.38.181.25,0
Rajkot,R?jkot,1.38.176.63,0
Bharuch,Vadodara,117.239.213.180,0
Ahmedabad,Ahmedabad,117.200.198.47,1
Jamnagar,Dholia,117.240.49.244,0
Kothurna,Vapi,117.220.216.80,0
Ahmedabad,Ahmedabad,103.132.24.195,1
Rajkot,P?lanpur,14.139.110.18,0
Surat,Kosamba,27.109.6.155,0
Ahmedabad,Ahmedabad,42.106.3.199,1
Gandhinagar,New Delhi,14.139.110.67,0
Anand,Karamsad,202.129.240.20,0
Godhra,Bhar?ch,117.218.146.220,0
Anand,Anand,117.204.209.239,1
Bharuch,Anand,59.95.123.238,0
Bharuch,Karamsad,59.95.121.175,0
Ahmedabad,Anand,59.94.193.189,0
Vadodara,Anand,210.212.139.236,0
Himatnagar,Ahmedabad,43.249.230.205,0
Himatnagar,Himatnagar,43.249.230.106,1
Himatnagar,Himatnagar,43.249.230.94,1
Gandhinagar,Gandhinagar,14.139.122.100,1
Mumbai,Ahmedabad,14.139.108.178,0
Rajkot,Sultanpur,117.215.40.156,0
Anand,Anand,202.129.240.141,1
Ahmedabad,Ahmedabad,117.200.207.217,1
Ahmedabad,Ahmedabad,117.200.207.193,1
Ahmedabad,Ahmedabad,117.200.198.246,1
Ahmedabad,Ahmedabad,117.200.193.254,1
Ahmedabad,Ahmedabad,117.196.18.18,1
Ahmedabad,Ahmedabad,27.54.183.116,1
Kannur,Bengaluru,117.211.165.178,0
Guntur,Guntur,117.211.160.30,1
Godhra,Timarda,61.2.27.13,0
Ahmedabad,Soj?tra,157.32.244.0,0
Ahmedabad,Soj?tra,49.34.32.119,0
Surat,Kosamba,103.238.110.114,0
Surat,K?thor,103.238.110.105,0
Surat,K?thor,103.238.110.85,0
Surat,K?thor,103.238.110.71,0
Surat,K?thor,103.238.110.69,0
Surat,K?thor,103.238.110.65,0
Surat,K?thor,103.238.110.62,0
Surat,K?thor,103.238.110.57,0
Surat,K?thor,103.238.110.51,0
Surat,K?thor,103.238.110.44,0
Surat,K?thor,103.238.110.36,0
Surat,K?thor,103.238.110.28,0
Ankleshwar,Ahmedabad,103.107.63.85,0
Ankleshwar,Ahmedabad,103.107.63.83,0
Ankleshwar,Ankleshwar,103.107.62.117,1
Bardoli,B?rdoli,103.241.244.36,0
Gandhinagar,Gandhinagar,14.139.122.98,1
Ahmedabad,Ahmedabad,42.106.31.47,1
Ahmedabad,Ahmedabad,42.106.29.168,1
Ahmedabad,Ahmedabad,42.106.10.15,1
Pune,Ahmedabad,14.139.123.193,0
Bhimavaram,Ozar,117.211.168.85,0
Bhimavaram,Ozar,117.211.168.84,0
Surat,K?thor,117.198.188.153,0
Mumbai,Silvassa,42.106.200.121,0
Bhuj,S?yla,117.240.137.68,0
Ahmedabad,Soj?tra,157.32.230.29,0
Ahmedabad,Soj?tra,157.32.96.154,0
Ahmedabad,Soj?tra,157.32.84.110,0
Ahmedabad,Golana,157.32.82.32,0
Ahmedabad,Soj?tra,157.32.18.108,0
Rajkot,R?jkot,117.223.70.45,0
Veraval,R?jkot,117.223.69.136,0
Rajkot,Bagasra,117.223.64.28,0
Rajkot,Gondal,117.198.171.120,0
