words,count
sugar,4
clinker,2
small,2
finance,1
bank,9
tax,2
revenue,4
class,9
ac,6
crude,5
oil,21
dubai,1
potassium,1
chloride,1
depositor,1
commercial,23
qatar,36
antiperspirant,1
pig,1
iron,8
finished,1
steel,8
noodles,2
sawnwood,2
cameroon,2
foreign,9
sector,17
semiconductor,1
state,1
pudding,1
gelatin,2
mixes,5
office,4
equipment,2
raw,9
material,2
education,2
instant,2
snacks,5
breakfast,1
garlic,1
time,5
deposits,15
telecommunications,2
food,12
services,4
coconut,3
milk,1
cream,1
electricity,6
demand,2
deep,1
conditioners,3
treatments,2
math,2
survey,4
drawing,1
institute,1
pumps,1
others,1
total,2
expenditure,3
government,3
net,10
claims,2
womens,3
backpacks,1
pasta,2
hot,1
chocolate,5
malted,1
drinks,4
dried,2
fruits,3
puffed,1
undifferentiated,1
production,2
activities,6
private,8
households,2
employers,1
insurance,4
retailing,1
formal,1
shoes,18
snack,4
foods,2
sweet,2
dishes,1
desserts,1
primary,1
goods,7
insoles,1
cakes,2
pastries,1
general,2
triathlon,1
misc,3
mechanical,2
engineering,1
india,5
ballet,1
flats,2
mining,3
quarrying,1
antiseptics,1
disinfectants,1
dals,1
pulses,3
beverage,2
renewable,2
energy,16
group,3
yearly,1
first,2
sweets,7
assortments,1
pregnancy,1
tests,1
generation,2
renewables,1
natural,6
gas,12
shoe,10
polishes,1
creams,6
real,2
estate,2
renting,1
business,2
meat,2
basic,1
prices,2
hair,7
serums,2
purpose,1
cleaners,4
banks,10
loans,12
mobile,8
money,10
transaction,1
fruit,4
juice,1
water,5
stain,1
fire,1
sorghum,1
consumer,4
durables,3
candies,2
mints,1
footwear,4
brent,1
europe,2
industrial,5
products,6
month,2
agricultural,2
machinery,4
training,1
financial,5
securities,2
currencies,1
pickles,2
sling,1
cross,1
body,5
bags,3
loafers,1
moccasins,1
deposit,1
accounts,2
wallets,1
distribution,1
credit,10
facilities,2
borrowing,4
spices,1
masalas,1
horns,1
regular,1
plan,2
hold,3
equpts,5
electric,2
hotels,1
school,2
more,1
year,5
massagers,1
pedometers,1
health,6
washes,1
export,2
direct,4
investment,4
lime,1
fuel,2
chocolates,1
facial,1
tissue,1
palm,2
ginger,1
trees,2
imported,2
coal,12
thermal,3
plants,9
paper,4
pulp,1
overshoes,1
football,1
borrowings,2
fashion,2
slippers,2
wireless,1
hard,1
borrowers,3
discoms,1
social,4
work,1
balance,2
payment,1
construction,6
major,1
sectoral,1
indices,1
textiles,1
surpl,1
liquidity,1
optfut,1
talcum,1
powders,1
active,2
public,3
three,1
tier,1
economy,3
merchandise,2
industry,12
cheques,3
cleared,2
second,3
machine,1
tools,2
iced,1
tea,10
lemonade,1
powdered,1
drink,1
bath,1
oils,5
indian,2
nickel,1
night,1
groundnuts,1
nutrition,4
bars,5
oats,1
porridge,1
transportation,2
average,1
wheat,3
boilers,3
steam,2
antiperspirants,1
interest,4
rates,4
fish,1
meal,2
clogs,1
mules,1
week,1
intermediate,1
ore,6
agriculture,14
materials,4
timber,3
gold,1
manufacturing,3
syrups,4
concentrates,1
beef,1
motor,2
soybeans,1
hand,3
care,7
vegetable,2
vanaspathi,2
years,2
up,2
processing,1
equity,4
mayonnaise,1
groundnut,1
exchange,5
ethnic,1
instruments,3
cricket,1
domestic,8
assets,6
dish,1
gilt,1
trail,1
mix,1
aluminum,1
flakes,1
masks,1
packs,1
pharma,1
trading,1
concentrated,1
squash,1
hunting,1
forestry,1
photographic,2
film,2
fruity,1
metallurgical,2
industries,6
fat,2
analyzers,1
futcom,1
interbanks,1
infrastructure,4
treasury,1
bill,2
mineral,2
sneakers,1
shampoo,1
conditioner,1
beauty,2
ghee,1
decoration,1
charms,1
metals,7
minerals,3
base,1
accounting,1
rice,7
chips,2
crackers,1
vinegars,1
priority,1
debt,4
indigrid,1
canned,1
jarred,1
solar,4
deficit,1
zinc,1
petrol,2
urea,1
dry,2
shampoos,2
face,2
travel,1
hospitality,1
ceramics,1
fermentation,1
breakeven,1
fiscal,1
price,2
salsas,1
dips,1
spreads,5
legal,1
custard,1
gifts,6
foundation,1
outstanding,1
south,1
african,1
feminine,1
hygiene,1
flour,1
gdam,1
cereal,2
fishing,1
qcb,3
liabilities,2
glass,1
potlis,1
wristlets,1
courier,1
number,2
chemicals,6
fertilizer,3
logs,2
malaysian,2
blushes,1
herbal,2
pain,1
relief,1
combined,1
cement,5
precio,2
dishwash,1
liquids,1
gels,3
meals,2
popcorn,1
earth,1
moving,1
granola,3
kits,1
keto,1
thai,3
mat,1
basketball,1
cargo,4
traffic,1
allied,1
baby,3
girls,1
running,1
rural,1
rainfall,2
wholesale,1
retail,2
trade,2
repair,1
vehicles,2
motorcycles,1
personal,5
household,1
branches,1
track,1
field,1
australian,1
auto,2
gypsum,1
olives,1
permanent,1
colour,1
platinum,1
overnight,1
heart,1
rate,1
monitors,4
sandals,4
floaters,1
hotel,1
tourism,1
changes,2
supply,3
caramels,1
containers,2
miscellaneo,3
cedit,1
card,2
contact,1
lenses,1
tennis,1
community,1
service,2
flip,1
flops,1
less,1
except,1
fertilizers,4
reer,1
satchels,1
cocoa,1
shrimps,1
mexican,1
spends,1
coffee,6
espresso,1
daily,2
avgrage,3
professional,1
forecasters,1
hampers,1
gourmet,2
nuts,2
seeds,2
athletic,1
outdoor,1
lollipops,1
chutneys,1
baking,3
supplies,3
gems,1
jewellery,1
top,1
handle,1
dal,1
curries,1
single,4
boys,1
weighing,1
scales,1
users,1
cooking,2
walking,1
vegetables,1
skateboarding,1
advertising,1
workout,2
carpet,1
dye,2
stuffs,2
extracts,1
flavoring,1
dap,1
months,3
pan,1
tobacco,2
intoxicants,1
styling,1
development,2
townships,1
housing,2
built,1
projects,1
casual,1
investments,2
oximeters,1
administration,1
defence,3
compulsory,1
security,2
pastes,1
sauces,1
hardware,2
networking,1
factors,1
affecting,1
colours,1
dyes,1
aluminium,1
foil,1
power,4
components,1
sunscreen,1
sanitary,1
napkins,1
colombo,1
kolkata,1
reservoir,1
computer,1
software,3
sleep,1
snoring,1
fresher,1
wash,3
soap,1
cosmetics,2
toiletries,2
transactions,1
car,2
medical,3
viet,1
namese,1
blood,2
pressure,1
hybrid,2
currency,2
circulation,1
boot,3
jacks,1
liquefied,1
japan,1
overdraft,1
value,4
tsp,1
glucose,1
option,1
contracts,1
lots,1
drugs,2
pharmaceuticals,2
sugars,2
sweeteners,2
derivatives,2
eye,1
boots,1
hobos,1
shoulder,1
automobile,1
futures,1
cereals,4
totes,1
muesli,3
index,4
chemical,1
fert,1
banana,2
paytm,1
biscuits,2
cookies,1
escerts,2
light,1
with,3
stock,2
market,4
capitalization,1
alternative,1
medicine,1
recruitment,1
foodgrains,1
silver,1
chicken,1
electrical,2
barley,1
lotions,3
tonics,1
current,1
account,2
banking,3
espadrille,1
electrolyte,1
replacements,1
dam,2
scientific,1
intermediaries,2
jelly,1
beans,2
child,1
saving,1
soaps,1
nutritional,1
yeast,1
therapeutic,1
skin,1
color,1
outlook,1
mettallurgical,1
clothing,1
laces,1
sanitizers,1
world,1
salad,1
dressings,1
washeries,1
mutual,2
funds,2
rubber,3
bandages,1
bandaging,1
clearings,1
bubble,2
tin,1
fitting,1
devices,1
category,3
golf,1
balanced,1
bathroom,1
cumulative,1
rapeseed,1
beverages,4
mochi,1
cotton,1
solution,1
oriented,3
schemes,5
steamgen,1
rategain,1
childrens,2
oral,1
holdings,1
sponge,1
soup,1
executive,2
lead,1
sunflower,1
whole,1
grains,3
architecture,1
leather,3
broadband,1
liquorice,1
breath,1
fresheners,1
gooseberry,1
badminton,1
lerner,2
trekking,1
hiking,1
inflation,1
discounted,1
container,2
phosphate,1
rock,1
central,1
epfo,1
growth,2
cartrade,1
primers,1
thong,1
overall,1
capital,2
robusta,1
optcom,1
individual,2
auctions,1
media,2
transport,1
storag,1
communications,1
fastag,1
soybean,2
mapmyindia,1
inbound,1
errors,1
omissions,1
jams,1
honey,1
euro,1
import,1
cola,1
soft,1
boat,1
complete,1
plywood,1
mindspace,1
glue,1
arabica,1
petroleum,2
refinery,2
embassy,1
periodic,1
labour,1
force,1
anubhuti,1
chillies,1
burners,1
chyawanprash,1
formulations,1
core,1
spot,1
brushes,1
orange,1
marine,2
post,1
recovery,1
extra,1
territorial,1
organizations,1
bodies,1
scheduled,2
thermometers,1
industryit,1
excluding,1
poultry,1
seafood,1
juices,1
equipments,1
cleaning,1
fluids,1
taffy,1
mass,1
weight,2
gainers,1
clutches,1
liquid,2
gum,2
protein,1
supplements,2
surgical,2
marshmallows,1
outbound,1
sleeper,1
toffee,1
composite,1
nut,1
butters,1
fertility,1
diesel,1
institutional,1
lipsticks,1
shipping,1
toe,1
guards,1
printing,1
main,1
economic,1
indicators,6
flours,1
categories,1
vistadome,1
management,1
kernel,1
amino,1
acids,1
ready,1
eat,1
cook,1
depositors,1
prime,1
movers,1
mixed,1
