,words,mapping,score
0,3i infotech,i infotech,0.9696969696969697
1,3i infotech,i infotech,0.9696969696969697
2,3i infotech,i infotech,0.9696969696969697
3,3s industries,s industries,0.9743589743589745
4,a b excavators and earthmover,a b excavators and earthmovers,0.9933333333333334
5,a b excavators and earthmovers,a b excavators and earthmover,0.9933333333333334
6,a k auto electrical,a k autto electrical,0.958421052631579
7,a k autto electrical,a k auto electrical,0.958421052631579
8,a k engineering works,a m engineering works,0.9746031746031746
9,a k engineering works,k engineering works,0.9507101086048454
10,a k engineering works,k k engineering works,0.9515873015873014
11,a k engineering works,k s engineering works,0.9515873015873014
12,a k engineering works,r k engineering works,0.9682539682539683
13,a m engineering works,a k engineering works,0.9746031746031746
14,a m engineering works,m m engineering works,0.9515873015873014
15,a m engineering works,v m engineering works,0.9682539682539683
16,a p mahesh coop urban bank,a p mahesh urban coop bank,0.9615384615384615
17,a p mahesh urban coop bank,a p mahesh coop urban bank,0.9615384615384615
18,a p mahesh urban coop bank,a p mahesh urban coop bank l,0.9857142857142858
19,a p mahesh urban coop bank l,a p mahesh urban coop bank,0.9857142857142858
20,a trailers,aec trailers,0.9500000000000001
21,a trailers,ams trailers,0.9500000000000001
22,an securities,nda securities,0.9505494505494506
23,an securities,pan securities,0.9761904761904763
24,aadya motor car co,aadya motor car company,0.9565217391304348
25,aadya motor car company,aadya motor car co,0.9565217391304348
26,aarti industries,arti industries,0.98125
27,abhinandan urban co op bank amravati,abhinandan urban coop bank amravati,0.9715873015873016
28,abhinandan urban coop bank amravati,abhinandan urban co op bank amravati,0.9715873015873016
29,abhyudaya co op bank,abhyudaya coop bank,0.9794736842105263
30,abhyudaya coop bank,abhyudaya co op bank,0.9794736842105263
31,abu dhabi commercial bank,abu dhabi commercial bank pjsc,0.9666666666666667
32,abu dhabi commercial bank,abu dhabi commercial bank pjsc,0.9666666666666667
33,abu dhabi commercial bank pjsc,abu dhabi commercial bank,0.9666666666666667
34,abu dhabi commercial bank pjsc,abu dhabi commercial bank,0.9666666666666667
35,acb (india),acb india,0.9636363636363636
36,acb india,acb (india),0.9636363636363636
37,accent hotels,ascent hotels,0.9538461538461539
38,acl industries,bcl industries,0.9523809523809524
39,acl industries,clc industries,0.9523809523809524
40,action construction equip,action construction equipment,0.9724137931034482
41,action construction equip,action construction equipment,0.9724137931034482
42,action construction equipment,action construction equip,0.9724137931034482
43,action construction equipment,action construction equip,0.9724137931034482
44,action financial services (india),action financial services india,0.9878787878787879
45,action financial services india,action financial services (india),0.9878787878787879
46,adarniya p d patilsaheb sahakari bank karad,adarniya p d patilsaheb sahakari bank,0.9720930232558139
47,adarniya p d patilsaheb sahakari bank,adarniya p d patilsaheb sahakari bank karad,0.9720930232558139
48,adhunik power & natural resource,adhunik power & natural resources,0.993939393939394
49,adhunik power & natural resource,adhunik power and natural resources,0.9515380184331798
50,adhunik power & natural resources,adhunik power & natural resource,0.993939393939394
51,adhunik power & natural resources,adhunik power and natural resources,0.9580465367965367
52,adhunik power and natural resources,adhunik power & natural resource,0.9515380184331798
53,adhunik power and natural resources,adhunik power & natural resources,0.9580465367965367
54,aditya birla sun life,aditya birla sun life amc,0.968
55,aditya birla sun life,aditya birla sun life mf,0.975
56,aditya birla sun life amc,aditya birla sun life,0.968
57,aditya birla sun life amc,aditya birla sun life mf,0.9756666666666667
58,aditya birla sun life mf,aditya birla sun life,0.975
59,aditya birla sun life mf,aditya birla sun life amc,0.9756666666666667
60,aditya engineering,aia engineering,0.9500000000000001
61,adm technologies,asm technologies,0.9625
62,aec trailers,a trailers,0.9500000000000001
63,agro indus credits,agro industries,0.9533333333333333
64,agro industries,agro indus credits,0.9533333333333333
65,agro industries,auro industries,0.9600000000000001
66,agro industries,rao industries,0.953968253968254
67,ahmedabad mercantile co-opbank,ahmedabad mercantile coop bank,0.9866666666666667
68,ahmedabad mercantile coop bank,ahmedabad mercantile co-opbank,0.9866666666666667
69,ahmedabad mercantile coop bank,ahmedabad mercantile cooperative bank,0.9554954954954956
70,ahmedabad mercantile cooperative bank,ahmedabad mercantile coop bank,0.9554954954954956
71,ahmednagar district central cooperative bank,ahmednagar district central cooperative bank ; ahmednagar,0.9543859649122807
72,ahmednagar district central cooperative bank ; ahmednagar,ahmednagar district central cooperative bank,0.9543859649122807
73,ahmednagar shahar sahakari bank,ahmednagar shahar sahakari bank maryadit,0.955
74,ahmednagar shahar sahakari bank maryadit,ahmednagar shahar sahakari bank,0.955
75,aia engineering,aditya engineering,0.9500000000000001
76,airtel payments bank,airtel payments bank app,0.9666666666666667
77,airtel payments bank app,airtel payments bank,0.9666666666666667
78,airtel payments bank app,airtel payments bank,0.9666666666666667
79,airtel payments bank,airtel payments bank app,0.9666666666666667
80,ajara urban co op bank ajara,ajara urban coop bank ajara,0.9632275132275133
81,ajara urban coop bank,ajara urban coop bank ajara,0.9555555555555556
82,ajara urban coop bank ajara,ajara urban co op bank ajara,0.9632275132275133
83,ajara urban coop bank ajara,ajara urban coop bank,0.9555555555555556
84,akash agro industries,khalsa agro industries,0.9689754689754689
85,akash agro industries,pasha agro industries,0.9515873015873014
86,akola district central coop bank,akola district central cooperative bank,0.957852564102564
87,akola district central cooperative bank,akola district central coop bank,0.957852564102564
