,words,mapping,score,js_file
0,jk lakshmi cement ltd,jk lakshmi cement ltd,0.9809523809523809,fois
1,jk lakshmi cement ltd,jk lakshmi cement ltd,0.9809523809523809,fois
2,maihar cement,manikgarh cement,0.9294871794871795,fois
3,maihar cement,maratha cement,0.9191697191697191,fois
4,manikgarh cement,maihar cement,0.9294871794871795,fois
5,maratha cement,maihar cement,0.9191697191697191,fois
6,multi,multi ltd,0.9111111111111111,fois
7,multi ltd,multi,0.9111111111111111,fois
8,orissa metaliks pvt ltd unit-i,orissa metaliks pvt ltd unit-ii,0.9935483870967742,fois
9,orissa metaliks pvt ltd unit-ii,orissa metaliks pvt ltd unit-i,0.9935483870967742,fois
10,public,public ltd,0.92,fois
11,public ltd,public,0.92,fois
12,sagar cements ltd,star cement ltd,0.9270588235294117,fois
13,star cement ltd,sagar cements ltd,0.9270588235294117,fois
14,shradha industries,aadesh industries,0.9016884531590413,vahan
15,shradha industries,shankar industries,0.9074074074074073,vahan
16,shradha industries,shri industries,0.915925925925926,vahan
17,shradha industries,shubhada industries,0.9414287352367847,vahan
18,3ev industries,3s industries,0.934065934065934,vahan
19,3ev industries,bew industries,0.9047619047619048,vahan
20,3ev industries,k industries,0.9007936507936508,vahan
21,3ev industries,leo industries,0.9047619047619048,vahan
22,3ev industries,s industries,0.9007936507936508,vahan
23,3ev industries,trv industries,0.9047619047619048,vahan
24,3ev industries,v k industries,0.9047619047619048,vahan
25,3ev industries,vmt industries,0.9047619047619048,vahan
26,3ev industries,vsl industries,0.9047619047619048,vahan
27,3s industries,3ev industries,0.934065934065934,vahan
28,3s industries,ams industries,0.9267399267399267,vahan
29,3s industries,asha industries,0.9076923076923077,vahan
30,3s industries,ksr industries,0.9267399267399267,vahan
31,3s industries,mas industries,0.9267399267399267,vahan
32,3s industries,s industries,0.9743589743589745,vahan
33,3s industries,sgl industries,0.9267399267399267,vahan
34,3s industries,vsl industries,0.9267399267399267,vahan
35,a b excavators and earthmover,a b excavators and earthmovers,0.9933333333333334,vahan
36,a b excavators and earthmovers,a b excavators and earthmover,0.9933333333333334,vahan
37,a b k engineering co,s k engineering co,0.9118736383442266,vahan
38,a k auto electrical,a k autto electrical,0.958421052631579,vahan
39,a k autto electrical,a k auto electrical,0.958421052631579,vahan
40,a k engineering works,a m engineering works,0.9746031746031746,vahan
41,a k engineering works,ahamad engineering works,0.9089285714285713,vahan
42,a k engineering works,alam engineering works,0.9305194805194805,vahan
43,a k engineering works,altaf engineering works,0.9192546583850931,vahan
44,a k engineering works,ambay engineering works,0.9192546583850931,vahan
45,a k engineering works,aptha engineering works,0.9192546583850931,vahan
46,a k engineering works,ars engineering works,0.9428571428571427,vahan
47,a k engineering works,ayub engineering works,0.9305194805194805,vahan
48,a k engineering works,b b engineering works,0.9365079365079364,vahan
49,a k engineering works,b f engineering works,0.9365079365079364,vahan
50,a k engineering works,dss engineering works,0.9047619047619048,vahan
51,a k engineering works,fayaz engineering works,0.9102829537612146,vahan
52,a k engineering works,j p engineering works,0.9365079365079364,vahan
53,a k engineering works,k engineering works,0.9507101086048454,vahan
54,a k engineering works,k k engineering works,0.9515873015873014,vahan
55,a k engineering works,k s engineering works,0.9515873015873014,vahan
56,a k engineering works,kamala engineering works,0.9119047619047619,vahan
57,a k engineering works,khaja engineering works,0.9239820565907522,vahan
58,a k engineering works,m m engineering works,0.9365079365079364,vahan
59,a k engineering works,om engineering works,0.919047619047619,vahan
60,a k engineering works,p la engineering works,0.937157287157287,vahan
61,a k engineering works,padma engineering works,0.9102829537612146,vahan
62,a k engineering works,r k engineering works,0.9682539682539683,vahan
63,a k engineering works,raj engineering works,0.9365079365079364,vahan
64,a k engineering works,raja engineering works,0.9227994227994228,vahan
65,a k engineering works,salam engineering works,0.9102829537612146,vahan
66,a k engineering works,staff engineering works,0.9102829537612146,vahan
67,a k engineering works,sudha engineering works,0.9102829537612146,vahan
68,a k engineering works,upa engineering works,0.9365079365079364,vahan
69,a k engineering works,v m engineering works,0.9365079365079364,vahan
70,a k gupta and co,r n gupta and co,0.9166666666666666,vahan
71,a m engineering works,a k engineering works,0.9746031746031746,vahan
72,a m engineering works,ahamad engineering works,0.9207142857142857,vahan
73,a m engineering works,alam engineering works,0.9434415584415583,vahan
74,a m engineering works,altaf engineering works,0.9192546583850931,vahan
75,a m engineering works,ambay engineering works,0.931583850931677,vahan
