,Srn,Charge_Id,Charge_Holder_Name,Date_Of_Creation,Date_Of_Modification,Date_Of_Satisfaction,Amount,Cin,Company_Name,Runtime,Address,Charge_Holder_Clean_Name
0,AA4544723,100712219,IDBI TRUSTEESHIP SERVICES LIMITED,2022-12-07,,2023-08-30,750000000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Bldg., Ground Floor, 17, R.Kamani Marg,   Ballard Estate,    Town Hall (Mumbai) Mumbai Mumbai Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
1,AA2610198,10056533,IDBI TRUSTEESHIP SERVICES LIMITED,2007-06-22,2023-05-17,,170157200000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"GR FLR, UNIVERSAL INSURANCE BLDG, SIR PHIROZSHAH MEHTA RD., FORT   Town Hall (Mumbai) Mumbai Mumbai Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
2,AA4689052,100245781,IDBI TRUSTEESHIP SERVICES LIMITED,2019-02-16,2022-08-10,2023-08-30,145550000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Building, Ground Floor, 17, R. Kamani Marg, Ballard Estate,      Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
3,AA4675269,100379002,IDBI TRUSTEESHIP SERVICES LIMITED,2020-09-15,2023-03-02,2023-08-30,182500000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"GR FLR, UNIVERSAL INSURANCE BLDG, SIR PHIROZSHAH MEHTA RD., FORT   Town Hall (Mumbai) Mumbai Mumbai Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
4,AA4679033,100299483,IDBI TRUSTEESHIP SERVICES LIMITED,2019-09-03,2023-03-02,2023-08-30,186950000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"GR FLR, UNIVERSAL INSURANCE BLDG, SIR PHIROZSHAH MEHTA RD., FORT   Town Hall (Mumbai) Mumbai Mumbai Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
5,AA1082859,100336293,IDBI TRUSTEESHIP SERVICES LIMITED,2020-03-12,2022-11-02,,77500000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Bldg., Ground Floor, 17, R.Kamani Marg,   Ballard Estate,    Town Hall (Mumbai) Mumbai Mumbai Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
6,AA4704876,10624434,IDBI TRUSTEESHIP SERVICES LIMITED,2016-02-05,2021-11-02,2023-08-30,52800000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Building, Ground Floor, 17, R.Kamani Marg, Ballard Estate,      Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
7,AA4671309,100449937,IDBI TRUSTEESHIP SERVICES LIMITED,2021-05-21,2021-12-06,2023-08-30,255000000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Building., Ground Floor, 17, R. Kamani Marg, Ballard Estate,      Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
8,AA4670579,100517609,IDBI TRUSTEESHIP SERVICES LIMITED,2021-11-23,2023-03-02,2023-08-30,749152000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"GR FLR, UNIVERSAL INSURANCE BLDG, SIR PHIROZSHAH MEHTA RD., FORT   Town Hall (Mumbai) Mumbai Mumbai Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
9,Y10517664,90389594,THE INDUSTRIAL FINANCE CORPORATION OF INDIA LTD.,1993-06-09,1993-07-08,1999-09-30,100000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,BANK OF BARODA BUILDING 16 PARLIAMENT STREET      Delhi  India,INDUSTRIAL FINANCE CORPORATION OF INDIA
