,0,1,2
0,mahindra & mahindra,mahindra & mahindra,True
1,mahindra & mahindra financial services,mahindra & mahindra,False
2,mahindra & mahindra financialservices,mahindra & mahindra,False
3,tata,tata motors,False
4,tata capital,tata motors,False
5,tata chemicals,tata motors,False
6,tata coffee,tata motors,False
7,tata communications,tata motors,False
8,tata group,tata motors,False
9,tata motors,tata motors,True
10,tata motors finance,tata motors,False
11,tata motors finance solutions,tata motors,False
12,tata power,tata motors,False
13,tata projects,tata motors,False
14,tata securities,tata motors,False
15,tata sky,tata motors,False
16,tata sons,tata motors,False
17,tata steel,tata motors,False
18,tata technologies,tata motors,False
19,maruti suzuki,maruti suzuki india,False
20,maruti suzuki india,maruti suzuki india,True
21,others,others,True
22,bajaj,bajaj auto,False
23,bajaj auto,bajaj auto,True
24,bajaj auto ltd,bajaj auto,False
25,bajaj capital,bajaj auto,False
26,bajaj corp,bajaj auto,False
27,bajaj finance,bajaj auto,False
28,bajaj healthcare,bajaj auto,False
29,bajaj markets,bajaj auto,False
30,ve commercial vehicles,ve commercial vehicles,True
31,ashok leyland,ashok leyland,True
32,ashok leyland defence systems,ashok leyland,False
33,ashok leyland vehicles,ashok leyland,False
34,piaggio vehicles,piaggio vehicles,True
35,hyundai,hyundai motor india,False
36,hyundai engineering plastics india,hyundai motor india,False
37,hyundai motor,hyundai motor india,False
38,hyundai motor india,hyundai motor india,True
39,hyundai steel india,hyundai motor india,False
40,hyundai steel pipe india,hyundai motor india,False
41,hyundai wia india,hyundai motor india,False
42,force motors,force motors,True
43,sml isuzu,sml isuzu,True
44,toyota kirloskar motor,toyota kirloskar motor,True
45,tvs motor,tvs motor,True
46,tvs motor company,tvs motor,False
47,tvs motor services,tvs motor,False
48,honda,honda cars india,False
49,honda cars india,honda cars india,True
50,honda motor india,honda cars india,False
51,hero motocorp,hero motocorp,True
52,honda motorcycle & scooter,honda motorcycle & scooter,True
53,honda motorcycle & scooter india,honda motorcycle & scooter,False
54,escorts,escorts,True
55,escorts automotive,escorts,False
56,escorts finance,escorts,False
57,escorts securities,escorts,False
58,ford,ford india,False
59,ford india,ford india,True
60,general motors india,general motors india,True
61,renault,renault india,False
62,renault developers,renault india,False
63,renault india,renault india,True
64,renault nissan automotive india,renault india,False
65,renaultnissan automotive l,renault india,False
66,nissan,nissan motor india,False
67,nissan copper,nissan motor india,False
68,nissan motor india,nissan motor india,True
69,tafe,tafe,True
70,action construction equipment,action construction equipment,True
71,mercedes,mercedes benz,False
72,mercedes benz,mercedes benz,True
73,bmw,bmw india,False
74,bmw ag,bmw india,False
75,bmw india,bmw india,True
76,bmw india financial services,bmw india,False
77,bmw industries,bmw india,False
78,hindustan motor corporation,hindustan motor finance corporation,False
79,hindustan motor finance corp,hindustan motor finance corporation,False
80,hindustan motor finance corporation,hindustan motor finance corporation,True
81,hindustan paper corp,hindustan motor finance corporation,False
82,india yamaha motor,india yamaha motor,True
83,jcb india,jcb india,True
84,international tractors,international tractors,True
85,cnh industrial india,cnh industrial india,True
86,daimler ag,daimler india commercial vehicles,False
87,daimler commercial veh,daimler india commercial vehicles,False
88,daimler financial services india,daimler india commercial vehicles,False
89,daimler india commercial vehicles,daimler india commercial vehicles,True
90,john deere india (tractor devision),john deere india (tractor devision),True
91,suzuki,suzuki motorcycle india,False
92,suzuki motorcycle,suzuki motorcycle india,False
93,suzuki motorcycle india,suzuki motorcycle india,True
94,kia,kia motors,False
