js_file,company,count
amc,aditya birla sun life mf,58
amc,axis amc,56
amc,bandhan mf,56
amc,canara robeco,53
amc,dsp mf,56
amc,edelweiss mf,52
amc,franklin templeton mf,52
amc,hdfc amc,58
amc,hsbc mf,45
amc,icici prudential mf,56
amc,invesco,50
amc,kotak mahindra mf,52
amc,l&t mf,45
amc,mirae amc,53
amc,nippon mf,58
amc,ppfas,38
amc,sbi mf,56
amc,shriram mf,34
amc,sundaram,49
amc,tata mf,56
amc,uti mf,51
auto,action construction equipment,45
auto,ampere vehicles,53
auto,bajaj auto,58
auto,force motors,38
auto,hero motocorp,56
auto,honda motorcycle and scooter,34
auto,mahindra and mahindra,49
auto,maruti suzuki india,56
auto,mercedes benz,51
auto,revolt intellicorp,52
auto,royal enfield unit of eicher,58
auto,tvs motor,45
aviation,air asia,56
aviation,air asia india,21
aviation,air carnival,11
aviation,air costa,11
aviation,air deccan,3
aviation,air heritage,11
aviation,air india,21
aviation,air india express,21
aviation,air odisha,11
aviation,air pegasus,11
aviation,air taxi,11
aviation,akasa air,11
aviation,alliance air,21
aviation,deccan air,11
aviation,flybig,11
aviation,go air,2
aviation,go first,21
aviation,indiaone air,11
aviation,indigo,21
aviation,jet airways,21
aviation,jetlite,11
aviation,pawanhans,11
aviation,spicejet,21
aviation,star air,11
aviation,trujet,11
aviation,vistara,21
aviation,zoomair,11
bank,a p mahesh co op urban bank,10
bank,ab bank,1
bank,abhinandan urban co op bank amravati,3
bank,abhinav sahakari bank dombivali,3
bank,abhyudaya co op bank,10
bank,abn amro bank nv,3
bank,abu dhabi commercial bank,8
bank,accountant generals office employees co op bank,3
bank,adarniya p d patilsaheb sahakari bank karad,3
bank,adarsh co op urban bank,3
bank,adarsh mahila nagari sahakari bank aurangabad,3
bank,adilabad dist co op central bank,3
bank,adinath co op bank,3
bank,aditya birla idea payments bank,12
bank,agrasen bank,3
bank,ahmedabad district co op bank,3
bank,ahmedabad mercantile co op bank,10
bank,ahmednagar district central co op bank,10
bank,ahmednagar merchants co op bank,10
bank,ahmednagar shahar sahakari bank,3
bank,airtel payments bank,17
bank,ajara urban co op bank,10
bank,akhand anand co op bank surat,3
bank,akola district central co op bank,10
bank,akola janata commercial co op bank,10
bank,akola urban co op bank,10
bank,alavi co operative bank,3
bank,allahabad bank,1
bank,allahabad u p gramin bank,3
bank,almora urban bank,3
bank,almora urban co op bank,7
bank,aman sah bank ichalkaranji,3
bank,amaravati zillha parishad shikshak sah bank,3
bank,amarnath co op bank,3
bank,ambajogai peoples co op bank,3
