js_file,company,count
MEDIA-TEST-test,aaj tak,1
MEDIA-TEST-test,almond board of california,1
MEDIA-TEST-test,amazon online india,1
MEDIA-TEST-test,asian paints,1
MEDIA-TEST-test,bharti airtel,1
MEDIA-TEST-test,big magic,1
MEDIA-TEST-test,britannia industries,1
MEDIA-TEST-test,brooke bond lipton,1
MEDIA-TEST-test,cadburys india,1
MEDIA-TEST-test,coca cola india,1
MEDIA-TEST-test,colgate palmolive,1
MEDIA-TEST-test,colors,3
MEDIA-TEST-test,colors rishtey,2
MEDIA-TEST-test,dangal,2
MEDIA-TEST-test,dd bharati,1
MEDIA-TEST-test,dd national,1
MEDIA-TEST-test,delhi skill & entrepreneurship university,1
MEDIA-TEST-test,dhinchaak,2
MEDIA-TEST-test,emami group of companies,1
MEDIA-TEST-test,etv telugu,2
MEDIA-TEST-test,facebook inc,1
MEDIA-TEST-test,fashnear technologies,1
MEDIA-TEST-test,flipkart,1
MEDIA-TEST-test,gcmmf,1
MEDIA-TEST-test,gemini tv,1
MEDIA-TEST-test,glaxo smithkline,1
MEDIA-TEST-test,godrej group,1
MEDIA-TEST-test,goldmines,2
MEDIA-TEST-test,google,1
MEDIA-TEST-test,hindustan unilever,1
MEDIA-TEST-test,indya interactive services,1
MEDIA-TEST-test,itc,1
MEDIA-TEST-test,ktv,1
MEDIA-TEST-test,l oreal india,1
MEDIA-TEST-test,lakme lever,1
MEDIA-TEST-test,lalithaa jewellery mart,1
MEDIA-TEST-test,lic,1
MEDIA-TEST-test,marico,1
MEDIA-TEST-test,nestle,1
MEDIA-TEST-test,nick,1
MEDIA-TEST-test,parle (g),1
MEDIA-TEST-test,pepsi co,1
MEDIA-TEST-test,policy bazaar,1
MEDIA-TEST-test,ponds,1
MEDIA-TEST-test,procter & gamble,1
MEDIA-TEST-test,reckitt benckiser group,1
MEDIA-TEST-test,reliance retail,1
MEDIA-TEST-test,sony entertainment television,1
MEDIA-TEST-test,sony max,1
MEDIA-TEST-test,sony pal,2
MEDIA-TEST-test,sony sab,3
MEDIA-TEST-test,spotify india,1
MEDIA-TEST-test,star gold,1
MEDIA-TEST-test,star jalsha,2
MEDIA-TEST-test,star maa,2
MEDIA-TEST-test,star plus,3
MEDIA-TEST-test,star pravah,3
MEDIA-TEST-test,star sports 1 hindi,3
MEDIA-TEST-test,star utsav,2
MEDIA-TEST-test,star vijay,3
MEDIA-TEST-test,sun tv,3
MEDIA-TEST-test,tata group,1
MEDIA-TEST-test,trivago,1
MEDIA-TEST-test,tvs motor,1
MEDIA-TEST-test,ultratech cement,1
MEDIA-TEST-test,unsp-gen-personal greetings/announcement,1
MEDIA-TEST-test,vodafone idea,1
MEDIA-TEST-test,wadia group,1
MEDIA-TEST-test,wipro,1
MEDIA-TEST-test,zee anmol,2
MEDIA-TEST-test,zee cinema,1
MEDIA-TEST-test,zee entertainment enterprises,1
MEDIA-TEST-test,zee kannada,2
MEDIA-TEST-test,zee tamil,2
MEDIA-TEST-test,zee telugu,3
MEDIA-TEST-test,zee tv,2
amc,aditya birla sun life mf,58
amc,axis amc,56
amc,bandhan mf,56
amc,canara robeco,53
amc,dsp mf,56
amc,edelweiss mf,52
amc,franklin templeton mf,52
amc,hdfc amc,58
amc,hsbc mf,45
amc,icici prudential mf,56
amc,invesco,50
amc,kotak mahindra mf,52
amc,l&t mf,45
amc,mirae amc,53
amc,nippon mf,58
amc,ppfas,38
amc,sbi mf,56
amc,shriram mf,34
amc,sundaram,49
amc,tata mf,56
amc,uti mf,51
auto,action construction equipment,2
auto,ampere vehicles,2
auto,bajaj auto,2
auto,force motors,2
auto,hero motocorp,2
auto,honda motorcycle and scooter,2
auto,mahindra and mahindra,2
auto,maruti suzuki india,2
auto,mercedes benz,2
auto,revolt intellicorp,2
auto,royal-enfield (unit of eicher ),2
auto,tvs motor,2
aviation,air asia,2
aviation,air asia india,21
aviation,air carnival,11
aviation,air costa,11
aviation,air deccan,3
aviation,air heritage,11
aviation,air india,21
aviation,air india express,21
aviation,air odisha,11
aviation,air pegasus,11
aviation,air taxi,11
aviation,akasa air,11
aviation,alliance air,21
aviation,deccan air,11
aviation,flybig,11
aviation,go air,2
aviation,go first,21
aviation,indiaone air,11
aviation,indigo,21
aviation,jet airways,21
aviation,jetlite,11
aviation,pawanhans,11
aviation,spicejet,21
aviation,star air,11
aviation,trujet,11
aviation,vistara,21
aviation,zoomair,11
bank,a p mahesh co op urban bank,10
bank,ab bank,1
bank,abhinandan urban co op bank amravati,3
bank,abhinav sahakari bank dombivali,3
bank,abhyudaya co op bank,10
bank,abn amro bank nv,3
bank,abu dhabi commercial bank,8
bank,accountant generals office employees co op bank,3
bank,adarniya p d patilsaheb sahakari bank karad,3
bank,adarsh co op urban bank,3
bank,adarsh mahila nagari sahakari bank aurangabad,3
bank,adilabad dist co op central bank,3
bank,adinath co op bank,3
bank,aditya birla idea payments bank,12
bank,agrasen bank,3
bank,ahmedabad district co op bank,3
bank,ahmedabad mercantile co op bank,10
bank,ahmednagar district central co op bank,10
bank,ahmednagar merchants co op bank,10
bank,ahmednagar shahar sahakari bank,3
bank,airtel payments bank,17
bank,ajara urban co op bank,10
bank,akhand anand co op bank surat,3
bank,akola district central co op bank,10
bank,akola janata commercial co op bank,10
bank,akola urban co op bank,10
bank,alavi co operative bank,3
bank,allahabad bank,1
bank,allahabad u p gramin bank,3
bank,almora urban bank,3
bank,almora urban co op bank,7
bank,aman sah bank ichalkaranji,3
bank,amaravati zillha parishad shikshak sah bank,3
bank,amarnath co op bank,3
bank,ambajogai peoples co op bank,3
bank,ambarnath jaihind co op bank,10
bank,ambur co op urban bank,3
bank,american express,9
bank,amreli jilla madhyastha sahakari bank,3
bank,amreli nagarik sahakari bank,3
bank,anand mercantile co op bank,3
bank,andhra bank,1
bank,andhra pradesh grameena bank,3
bank,andhra pradesh grameena vikas bank,10
bank,andhra pradesh state co op bank,10
bank,andhra pragathi grameena bank,7
bank,anz banking group,8
bank,apna sahakari bank,10
bank,appasaheb birnale sahakari bank dudhgaon,3
bank,arihant urban co op bank,3
bank,arvind sahakari bank,10
bank,aryavart bank,3
bank,ashta peoples co op bank ashta,3
bank,assam gramin vikash bank,3
bank,associate co op bank,3
bank,au small finance bank,21
bank,axis bank,33
bank,b n p paribas,4
bank,babasaheb deshmukh sahakari bank atpadi,3
bank,balasinor nagarik sahakari bank,3
bank,balitikuri co op bank,3
bank,balotra urban co op bank,3
bank,balusseri co operative urban bank,3
bank,banaskantha district central co op bank,3
bank,banaskantha mercantile co op bank,10
bank,bandhan bank,19
bank,bank internasional indonesia,6
bank,bank international indonesia,1
bank,bank of america,16
bank,bank of baharain and kuwait,11
bank,bank of baroda,29
bank,bank of ceylon,8
bank,bank of china,8
bank,bank of china india branch,1
bank,bank of india,24
bank,bank of maharashtra,23
bank,bank of nova scotia,7
bank,bank of rajasthan,3
bank,bank of tokyo and mitsubishi,7
bank,bapunagar mahila co op bank,3
bank,baramati sahakari bank,7
bank,baran nagrik sahakari bank,3
bank,barclays bank,20
bank,bardoli nagrik sahakari bank,3
bank,baroda central co op bank baroda,3
bank,baroda city co op bank,3
bank,baroda up gramin bank,3
bank,bassein catholic co op bank,10
bank,bassin catholic co op bank,3
bank,bellary district co op central bank,3
bank,bhadradri co op urban bank,3
bank,bhagini nivedita sahakari bank,10
bank,bhagyalakshmi mahila sahakari bank,3
bank,bhagyodaya co op bank,3
bank,bharat co op bank,10
bank,bhartiya mahila bank,1
bank,bharuch district central co op bank,3
bank,bhavana rishi co op urban bank,3
bank,bhavnagar district co op bank,3
bank,bhilwara urban co op bank,3
bank,bhiwani central co op bank ;bhiwani,3
bank,bhuj commercial co operative bank,3
bank,bicholim urban co op bank,3
bank,bk of tokyo mitsubishi ufj,3
bank,bnp paribas,7
bank,bombay mercantile co op bank,10
bank,burdwan central co op bank,10
bank,business co op bank,3
bank,c g rajya sahakari bank,3
bank,calicut co op urban bank,3
bank,canara bank,28
bank,capital local area bank,6
bank,capital small finance bank,16
bank,central bank of india,23
bank,central co op bank bikaner,3
bank,chaitanya godavari grameena bank,3
bank,chanasma nagrik sahakari bank,3
bank,chandigarh state co op bank,3
bank,chandwad merchants co op bank,3
bank,cherpalcheri co operative urban bank,3
bank,chhapi nagrik sahakari bank,3
bank,chhattisgarh rajya gramin bank,7
bank,chikhli urban co op bank,3
bank,chikkamagaluru district central co op bank,3
bank,chinatrust commercial bank,6
bank,chitradurga distict co op central bank,3
bank,chittoor district co op central bank,3
bank,citi bank,27
bank,citizen credit co op bank,10
bank,citizens co op bank rajkot,3
bank,city union bank,23
bank,clearing corporation of india,3
bank,coastal local area bank,10
bank,coimbatore district central co op bank,3
bank,col rd nikam sainik sahakari bank,3
bank,colour merchants co op bank,3
bank,commercial co op bank jamnagar,4
bank,commercial co op bank kolhapur,3
bank,commonwealth bank of australia,7
bank,contai co op bank,3
bank,cooperatieve centrale raiffeisen boerenleenbank ba,3
bank,cooperatieve rabobank ua,3
bank,cooperative bank of mehsana,3
bank,cooperative bank of rajkot,3
bank,corporation bank,1
bank,cosmos co op bank,10
bank,credit agricole corporate and investment bank,8
bank,credit suisse,8
bank,csb bank,21
bank,ctbc bank,8
bank,cuddalore district central co op bank,3
bank,dahod mercantile co op bank,3
bank,dahod urban co op bank dahod,3
bank,dakshin bihar gramin bank,3
bank,dapoli urban co op bank,3
bank,darussalam co op urban bank,7
bank,dausa urban co op bank,3
bank,davangere urban co op bank,3
bank,davangereharihara urban sahakari bank niyamit davangere,3
bank,dbs bank,18
bank,dcb bank,22
bank,dccb srikakulam,3
bank,deendayal nagari sahakari bank,3
bank,delhi state co op bank,7
bank,dena bank,1
bank,deogiri nagari sahakari bank,10
bank,deposit insurance and credit guarantee corporation,7
bank,deustche bank,3
bank,deutsche bank,19
bank,deutsche securities,3
bank,development bank of singapore,5
bank,dhanbad central co op bank,3
bank,dhanera mercantile co op bank,3
bank,dhanlaxmi bank,22
bank,dharmapuri district central co op bank,3
bank,dindigul central co op bank,3
bank,district central co op bank warangal,3
bank,district co op central bank eluru,3
bank,district co op central bank khammam,3
bank,district co op central bank krishna,3
bank,district co op central bank srikakulam,3
bank,district co op central bank visakhapatnam,3
bank,dmk jaoli bank,10
bank,doha bank,11
bank,dombivli nagari sahakari bank,7
bank,dombivli nagrik sahakari bank,3
bank,durgapur steel peoples co op bank,10
bank,eenadu co op urban bank,3
bank,emirates nbd bank pjsc,8
bank,equitas small finance bank,17
bank,erode district central co op bank,3
bank,esaf small finance bank,17
bank,export import bank of india,7
bank,federal bank,23
bank,financial co op bank,3
bank,fincare small finance bank,16
bank,fingrowth co op bank,3
bank,fino payments bank,17
bank,first abu dhabi bank pjsc,5
bank,firstrand bank,17
bank,g p parsik bank,1
bank,g s mahanagar co op bank,3
bank,gadchiroli district central co op bank,7
bank,gandevi peoples co op bank,6
bank,gandhi gunj co op bank,3
bank,gandhidham co operative bank,3
bank,gandhidham mercantile co op bank,3
bank,gandhinagar nagarik co op bank,3
bank,gandhinagar urban co op bank,3
bank,godavari urabn co op bank nashik,3
bank,godhra urban co op bank,3
bank,goldman sach india,3
bank,gopinath patil parsik janata sahakari bank,6
bank,gp parsik janata sahakari bank,6
bank,greater bombay co op bank,10
bank,gs mahanagar co op bank,4
bank,guardian souharda sahakari bank niyamita,7
bank,gujarat ambuja co op bank,3
bank,gujarat state co op bank,10
bank,guntur co op urban bank,3
bank,guntur district co op central bank,3
bank,gurgaon gramin bank,6
bank,haryana state co op apex bank,10
bank,hasti co op bank,10
bank,hdfc bank,33
bank,himachal pradesh gramin bank,3
bank,himachal pradesh state co op bank,7
bank,himatnagar nagrik sahakari bank,3
bank,honavar urban co op bank,3
bank,hongkong and shanghai banking corporation,15
bank,hooghly district central co operative bank,3
bank,hsbc bank,21
bank,hutatma sahakari bank,10
bank,icici bank,33
bank,icici securities,3
bank,idbi bank,24
bank,idbi cap market services,3
bank,idfc first bank,23
bank,idrbt,1
bank,idukki district co op bank,7
bank,india post payments bank,19
bank,indian bank,23
