,0,1,2
0,colors,colors,True
1,sony sab,sony sab,True
2,star plus,star plus,True
3,star pravah,star pravah,True
4,star sports 1 hindi,star sports 1 hindi,True
5,star vijay,star vijay,True
6,sun tv,sun tv,True
7,zee telugu,zee telugu,True
8,colors rishtey,colors rishtey,True
9,dangal,dangal,True
10,dhinchaak,dhinchaak,True
11,etv telugu,etv telugu,True
12,goldmines,goldmines,True
13,sony pal,sony pal,True
14,star jalsha,star jalsha,True
15,star maa,star maa,True
16,star utsav,star utsav,True
17,zee anmol,zee anmol,True
18,zee kannada,zee kannada,True
19,zee tamil,zee tamil,True
20,zee tv,zee tv,True
21,aaj tak,aaj tak,True
22,almond board of california,almond board of california,True
23,amazon online india,amazon online india,True
24,asian paints,asian paints,True
25,bharti airtel,bharti airtel,True
26,big magic,big magic,True
27,britannia industries,britannia industries,True
28,brooke bond lipton,brooke bond lipton,True
29,cadburys india,cadburys india,True
30,coca cola india,coca cola india,True
31,colgate palmolive,colgate palmolive,True
32,dd bharati,dd bharati,True
33,dd national,dd national,True
34,delhi skill & entrepreneurship university,delhi skill & entrepreneurship university,True
35,emami group of companies,emami group of companies,True
36,facebook inc,facebook inc,True
37,fashnear technologies,fashnear technologies,True
38,flipkart,flipkart,True
39,gcmmf,gcmmf,True
40,gemini tv,gemini tv,True
41,glaxo smithkline,glaxo smithkline,True
42,godrej group,godrej group,True
43,google,google,True
44,hindustan unilever,hindustan unilever,True
45,indya interactive services,indya interactive services,True
46,itc,itc,True
47,ktv,ktv,True
48,l oreal india,l oreal india,True
49,lakme lever,lakme lever,True
50,lalithaa jewellery mart,lalithaa jewellery mart,True
51,lic,lic,True
52,marico,marico,True
53,nestle,nestle,True
54,nick,nick,True
55,parle (g),parle (g),True
56,pepsi co,pepsi co,True
57,policy bazaar,policy bazaar,True
58,ponds,ponds,True
59,procter & gamble,procter & gamble,True
60,reckitt benckiser group,reckitt benckiser group,True
61,reliance retail,reliance retail,True
62,sony entertainment television,sony entertainment television,True
63,sony max,sony max,True
64,spotify india,spotify india,True
65,star gold,star gold,True
66,tata group,tata group,True
67,trivago,trivago,True
68,tvs motor,tvs motor,True
69,ultratech cement,ultratech cement,True
70,unsp-gen-personal greetings/announcement,unsp-gen-personal greetings/announcement,True
71,vodafone idea,vodafone idea,True
72,wadia group,wadia group,True
73,wipro,wipro,True
74,zee cinema,zee cinema,True
75,zee entertainment enterprises,zee entertainment enterprises,True
76,aditya birla sun life mf,aditya birla sun life mf,True
77,hdfc amc,hdfc amc,True
78,nippon mf,nippon mf,True
79,axis amc,axis amc,True
80,bandhan mf,bandhan mf,True
81,dsp mf,dsp mf,True
82,icici prudential mf,icici prudential mf,True
83,sbi mf,sbi mf,True
84,tata mf,tata mf,True
85,canara robeco,canara robeco,True
86,mirae amc,mirae amc,True
87,edelweiss mf,edelweiss mf,True
88,franklin templeton mf,franklin templeton mf,True
89,kotak mahindra mf,kotak mahindra mf,True
90,uti mf,uti mf,True
91,invesco,invesco,True
92,sundaram,sundaram,True
93,hsbc mf,hsbc mf,True
94,l&t mf,l&t mf,True
95,ppfas,ppfas,True
96,shriram mf,shriram mf,True
97,action construction equipment,action construction equipment,True
98,ampere vehicles,ampere vehicles,True
99,bajaj auto,bajaj auto,True
100,force motors,force motors,True
101,hero motocorp,hero motocorp,True
102,honda motorcycle & scooter,honda motorcycle & scooter,True
103,mahindra & mahindra,mahindra & mahindra,True
104,maruti suzuki india,maruti suzuki india,True
105,mercedes benz,mercedes benz,True
106,revolt intellicorp,revolt intellicorp,True
107,royal-enfield (unit of eicher ),royal-enfield (unit of eicher ),True
108,tvs motor,tvs motor,True
109,air asia,air asia india,False
110,air asia india,air asia india,True
111,air india,air asia india,False
112,air india express,air asia india,False
113,alliance air,alliance air,True
114,go first,go first,True
115,indigo,indigo,True
116,jet airways,jet airways,True
117,spicejet,spicejet,True
118,vistara,vistara,True
119,air carnival,air carnival,True
120,air costa,air costa,True
121,air heritage,air heritage,True
122,air odisha,air odisha,True
123,air pegasus,air pegasus,True
124,air taxi,air taxi,True
125,akasa air,akasa air,True
126,deccan air,deccan air,True
127,flybig,flybig,True
128,indiaone air,indiaone air,True
129,jetlite,jetlite,True
130,pawanhans,pawanhans,True
131,star air,star air,True
132,trujet,trujet,True
133,zoomair,zoomair,True
134,air deccan,air deccan,True
135,go air,go air,True
136,axis bank,axis bank,True
137,hdfc bank,hdfc bank,True
138,icici bank,icici bank,True
139,icici securities,icici bank,False
140,state bank of india,state bank of india,True
141,union bank of india,union bank of india,True
142,bank of baroda,bank of baroda,True
143,punjab national bank,punjab national bank,True
144,canara bank,canara bank,True
145,citi bank,citi bank,True
146,yes bank,yes bank,True
147,kotak mahindra bank,kotak mahindra bank,True
148,standard chartered bank,standard chartered bank,True
149,bank of india,bank of india,True
150,idbi bank,idbi bank,True
151,indusind bank,indusind bank,True
