Slide_No,Chart_Title,Variable_Column,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Unit
2,Monthly Production - Feb '24,Passenger Vechicle,316.31,286.11,322.76,313.04,337.98,386.74,In '000
2,Monthly Production - Feb '24,Three-Wheeler,108.52,82.79,70.36,64.01,68.09,77.81,In '000
2,Monthly Production - Feb '24,Two-Wheeler,"1,938.26","1,583.61","1,859.34","1,430.53","1,348.67","1,829.53",In '000
3,Monthly Domestic Sales - Feb '24,Passenger Vechicle,252.62,238.62,281.38,262.98,291.93,319.52,In '000
3,Monthly Domestic Sales - Feb '24,Three-Wheeler,59.88,41.30,27.66,27.07,50.38,54.58,In '000
3,Monthly Domestic Sales - Feb '24,Two-Wheeler,"1,614.94","1,294.79","1,426.86","1,050.08","1,129.66","1,520.76",In '000
4,Monthly Exports - Feb '24,Passenger Vechicle,50.71,50.23,35.34,51.21,44.86,54.04,In '000
4,Monthly Exports - Feb '24,Three-Wheeler,46.55,42.43,41.18,36.00,19.64,25.84,In '000
4,Monthly Exports - Feb '24,Two-Wheeler,269.60,311.76,364.65,375.69,235.09,328.08,In '000
5,Monthly Production - PV (Sub Categories) - Feb '24,Passenger Cars,207.99,177.03,181.25,170.43,169.83,151.54,In '000
5,Monthly Production - PV (Sub Categories) - Feb '24,Utility Vehicles/SUVs,89.11,97.64,129.37,133.25,156.60,221.96,In '000
5,Monthly Production - PV (Sub Categories) - Feb '24,Vans,19.22,11.45,12.14,9.37,11.55,13.25,In '000
6,Monthly Domestic Sales - PV (Sub-Categories) -  Feb '24,Passenger Cars,160.92,148.54,155.13,133.57,142.20,115.94,In '000
6,Monthly Domestic Sales - PV (Sub-Categories) -  Feb '24,Utility Vehicles/SUVs,75.54,78.67,114.35,120.12,138.24,191.44,In '000
6,Monthly Domestic Sales - PV (Sub-Categories) -  Feb '24,Vans,16.15,11.41,11.90,9.29,11.49,12.15,In '000
7,Monthly Exports - PV (Sub-Categories) -  Feb '24,Passenger Cars,36.79,30.17,23.23,33.52,25.21,31.44,In '000
7,Monthly Exports - PV (Sub-Categories) -  Feb '24,Utility Vehicles/SUVs,13.52,19.80,11.89,17.62,19.51,21.82,In '000
7,Monthly Exports - PV (Sub-Categories) -  Feb '24,Vans,0.40,0.26,0.22,0.08,0.14,0.78,In '000
8,Monthly Production - 3W (Sub-Categories) - Feb '24,Goods Carrier,12.55,8.28,9.89,8.81,8.60,11.36,In '000
8,Monthly Production - 3W (Sub-Categories) - Feb '24,Passenger Carrier,95.97,74.51,60.47,55.20,59.49,66.44,In '000
9,Monthly Domestic Sales - 3W (Sub-Categories) - Feb '24,Goods Carrier,11.86,8.88,9.04,7.68,8.99,10.49,In '000
9,Monthly Domestic Sales - 3W (Sub-Categories) - Feb '24,Passenger Carrier,48.02,32.42,18.62,19.39,41.39,44.09,In '000
10,Monthly Exports - 3W (Sub-Categories) - Feb '24,Goods Carrier,0.58,0.56,0.59,1.18,0.25,0.64,In '000
10,Monthly Exports - 3W (Sub-Categories) - Feb '24,Passenger Carrier,45.97,41.87,40.59,34.82,19.39,25.20,In '000
11,Monthly Production - 2W (Sub-Categories) -  Feb '24,Mopeds,75.29,56.72,63.66,38.46,35.71,42.62,In '000
11,Monthly Production - 2W (Sub-Categories) -  Feb '24,Motorcycles,"1,279.52","1,032.79","1,299.78",998.44,872.06,"1,219.45",In '000
11,Monthly Production - 2W (Sub-Categories) -  Feb '24,Scooters,583.45,493.98,495.90,393.64,440.90,567.46,In '000
12,Monthly Domestic Sales - 2W (Sub-Categories) -  Feb '24,Mopeds,75.00,55.80,51.44,35.85,35.35,41.06,In '000
12,Monthly Domestic Sales - 2W (Sub-Categories) -  Feb '24,Motorcycles,"1,047.36",816.68,910.32,658.01,703.26,964.36,In '000
12,Monthly Domestic Sales - 2W (Sub-Categories) -  Feb '24,Scooters,492.58,422.17,465.10,356.22,391.05,515.34,In '000
13,Monthly Exports - 2W (Sub-Categories) -  Feb '24,Mopeds,1.12,0.94,0.35,1.64,0.61,0.58,In '000
13,Monthly Exports - 2W (Sub-Categories) -  Feb '24,Motorcycles,238.45,279.74,335.41,349.22,201.10,280.14,In '000
13,Monthly Exports - 2W (Sub-Categories) -  Feb '24,Scooters,30.03,31.08,28.89,24.83,33.38,47.36,In '000
14,Monthly Production Cumulative -  Feb '24,Passenger Vehicle,"3,693.40","3,190.98","2,632.56","3,198.17","4,081.70","4,364.44",In '000
14,Monthly Production Cumulative -  Feb '24,Three-Wheelers,"1,148.26","1,073.17",540.46,686.59,778.83,910.88,In '000
14,Monthly Production Cumulative -  Feb '24,Two-Wheelers,"22,881.37","19,871.10","16,399.12","16,244.12","17,892.83","19,605.83",In '000
15,Monthly Domestic Sales Cumulative -  Feb '24,Passenger Vehicle,"3,085.53","2,605.38","2,335.81","2,666.11","3,461.78","3,742.20",In '000
15,Monthly Domestic Sales Cumulative -  Feb '24,Three-Wheelers,634.73,609.46,187.14,229.25,434.41,635.03,In '000
15,Monthly Domestic Sales Cumulative -  Feb '24,Two-Wheelers,"19,739.25","16,549.59","13,623.98","12,371.18","14,572.22","16,486.79",In '000
16,Monthly Exports Cumulative -  Feb '24,Passenger Vehicle,608.10,627.27,363.70,515.99,591.43,609.50,In '000
16,Monthly Exports Cumulative -  Feb '24,Three-Wheelers,519.07,475.75,353.23,461.20,346.22,275.70,In '000
16,Monthly Exports Cumulative -  Feb '24,Two-Wheelers,"3,029.54","3,301.08","2,926.61","4,091.89","3,406.55","3,131.30",In '000
