Slide_No,Chart_Title,Variable_Column,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Unit
2,Monthly Production - Nov '23,Passenger Vechicle,264.43,281.98,294.60,266.55,343.50,330.10,In '000
2,Monthly Production - Nov '23,Three-Wheeler,99.74,105.43,65.46,61.55,78.58,81.12,In '000
2,Monthly Production - Nov '23,Two-Wheeler,"1,908.97","1,870.63","1,936.79","1,378.47","1,620.34","1,817.20",In '000
3,Monthly Domestic Sales - Nov '23,Passenger Vechicle,247.77,253.14,264.90,215.63,276.23,288.06,In '000
3,Monthly Domestic Sales - Nov '23,Three-Wheeler,53.40,55.78,24.07,22.55,45.66,59.74,In '000
3,Monthly Domestic Sales - Nov '23,Two-Wheeler,"1,645.78","1,410.94","1,600.38","1,061.49","1,236.19","1,623.40",In '000
4,Monthly Exports - Nov '23,Passenger Vechicle,48.46,58.26,38.30,44.26,53.96,54.09,In '000
4,Monthly Exports - Nov '23,Three-Wheeler,46.87,47.83,37.28,42.43,30.89,26.15,In '000
4,Monthly Exports - Nov '23,Two-Wheeler,246.08,299.15,325.74,356.66,287.04,278.21,In '000
5,Monthly Production - PV (Sub Categories) - Nov '23,Passenger Cars,177.91,166.43,171.50,134.18,172.01,133.65,In '000
5,Monthly Production - PV (Sub Categories) - Nov '23,Utility Vehicles/SUVs,71.83,107.46,111.72,122.34,164.15,186.12,In '000
5,Monthly Production - PV (Sub Categories) - Nov '23,Vans,14.70,8.09,11.38,10.03,7.34,10.32,In '000
6,Monthly Domestic Sales - PV (Sub-Categories) -  Nov '23,Passenger Cars,168.37,154.22,149.95,100.91,130.14,102.56,In '000
6,Monthly Domestic Sales - PV (Sub-Categories) -  Nov '23,Utility Vehicles/SUVs,64.31,88.36,103.52,105.09,138.78,175.28,In '000
6,Monthly Domestic Sales - PV (Sub-Categories) -  Nov '23,Vans,15.09,10.56,11.42,9.63,7.31,10.23,In '000
7,Monthly Exports - PV (Sub-Categories) -  Nov '23,Passenger Cars,34.62,39.36,24.57,29.91,37.60,36.22,In '000
7,Monthly Exports - PV (Sub-Categories) -  Nov '23,Utility Vehicles/SUVs,13.60,18.76,13.54,14.17,16.34,17.41,In '000
7,Monthly Exports - PV (Sub-Categories) -  Nov '23,Vans,0.23,0.14,0.19,0.18,0.02,0.46,In '000
8,Monthly Production - 3W (Sub-Categories) - Nov '23,Goods Carrier,10.09,10.84,11.05,6.03,9.31,10.56,In '000
8,Monthly Production - 3W (Sub-Categories) - Nov '23,Passenger Carrier,89.65,94.59,54.41,55.52,69.27,70.56,In '000
9,Monthly Domestic Sales - 3W (Sub-Categories) - Nov '23,Goods Carrier,10.57,9.54,9.91,6.31,9.22,9.57,In '000
9,Monthly Domestic Sales - 3W (Sub-Categories) - Nov '23,Passenger Carrier,42.83,46.24,14.16,16.24,36.45,50.16,In '000
10,Monthly Exports - 3W (Sub-Categories) - Nov '23,Goods Carrier,0.45,0.46,0.39,0.58,0.24,0.46,In '000
10,Monthly Exports - 3W (Sub-Categories) - Nov '23,Passenger Carrier,46.42,47.37,36.89,41.85,30.65,25.69,In '000
11,Monthly Production - 2W (Sub-Categories) -  Nov '23,Mopeds,67.05,60.12,72.59,29.28,40.48,40.89,In '000
11,Monthly Production - 2W (Sub-Categories) -  Nov '23,Motorcycles,"1,249.69","1,254.46","1,339.84","1,011.77","1,087.75","1,233.82",In '000
11,Monthly Production - 2W (Sub-Categories) -  Nov '23,Scooters,592.23,556.05,524.06,337.42,492.11,542.50,In '000
12,Monthly Domestic Sales - 2W (Sub-Categories) -  Nov '23,Mopeds,74.59,57.55,70.75,42.56,34.47,43.48,In '000
12,Monthly Domestic Sales - 2W (Sub-Categories) -  Nov '23,Motorcycles,"1,049.65",893.54,"1,026.70",699.95,788.89,"1,070.80",In '000
12,Monthly Domestic Sales - 2W (Sub-Categories) -  Nov '23,Scooters,521.54,459.85,502.56,318.99,412.83,509.12,In '000
13,Monthly Exports - 2W (Sub-Categories) -  Nov '23,Mopeds,0.91,1.67,1.04,0.19,0.49,0.04,In '000
13,Monthly Exports - 2W (Sub-Categories) -  Nov '23,Motorcycles,217.09,271.09,305.51,331.99,261.09,237.80,In '000
13,Monthly Exports - 2W (Sub-Categories) -  Nov '23,Scooters,28.08,26.39,19.19,24.48,25.46,40.38,In '000
14,Monthly Production Cumulative -  Nov '23,Passenger Vehicle,"2,726.66","2,307.52","1,621.75","2,203.32","2,950.90","3,131.09",In '000
14,Monthly Production Cumulative -  Nov '23,Three-Wheelers,861.07,792.74,344.10,487.59,573.79,688.83,In '000
14,Monthly Production Cumulative -  Nov '23,Two-Wheelers,"17,596.69","15,251.58","11,171.50","12,009.75","13,878.83","14,407.76",In '000
15,Monthly Domestic Sales Cumulative -  Nov '23,Passenger Vehicle,"2,294.50","1,858.18","1,455.56","1,829.69","2,504.08","2,700.40",In '000
15,Monthly Domestic Sales Cumulative -  Nov '23,Three-Wheelers,477.16,453.46,110.21,149.81,296.43,476.37,In '000
15,Monthly Domestic Sales Cumulative -  Nov '23,Two-Wheelers,"15,267.78","12,863.76","9,639.27","9,164.27","11,212.35","12,258.60",In '000
16,Monthly Exports Cumulative -  Nov '23,Passenger Vehicle,450.18,473.65,233.98,368.56,422.12,444.77,In '000
16,Monthly Exports Cumulative -  Nov '23,Three-Wheelers,389.11,349.28,232.78,343.14,277.27,206.83,In '000
16,Monthly Exports Cumulative -  Nov '23,Two-Wheelers,"2,242.69","2,387.53","1,809.59","2,976.06","2,679.20","2,255.40",In '000
