Slide_No,Chart_Title,Variable_Column,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Unit
3,Domestic Sales - Q2(Jul-Sept) Performance Sep '23,Commercial Vehicle - Q2 Performance,257.08,167.17,133.53,166.25,231.99,247.93,In '000
3,Domestic Sales - Q2(Jul-Sept) Performance Sep '23,Passenger Vehicle - Q2 Performance,870.79,620.62,726.23,741.44,"1,026.31","1,074.19",In '000
3,Domestic Sales - Q2(Jul-Sept) Performance Sep '23,Three Wheeler - Q2 Performance,192.61,180.90,46.70,70.93,120.32,195.22,In '000
3,Domestic Sales - Q2(Jul-Sept) Performance Sep '23,Two Wheeler - Q2 Performance,"5,891.16","4,682.57","4,690.56","4,136.48","4,673.93","4,598.44",In '000
4,Domestic Sales - H1(Apr-Sept) Performance Sep '23,Commercial Vehicle - H1 Performance,487.32,375.48,165.17,272.05,456.48,464.98,In '000
4,Domestic Sales - H1(Apr-Sept) Performance Sep '23,Passenger Vehicle - H1 Performance,"1,744.28","1,333.30",879.97,"1,387.71","1,936.80","2,070.16",In '000
4,Domestic Sales - H1(Apr-Sept) Performance Sep '23,Three Wheeler - H1 Performance,354.28,330.70,59.46,95.45,196.61,339.69,In '000
4,Domestic Sales - H1(Apr-Sept) Performance Sep '23,Two Wheeler - H1 Performance,"11,568.50","9,695.64","5,985.07","6,550.09","8,398.46","8,739.41",In '000
5,Passenger Vehicle: Sub-Category - Q2 Performance Sep '23,PVs - Passenger Cars - Q2 Domestic Sales,585.95,367.70,426.32,343.94,468.51,396.50,In '000
5,Passenger Vehicle: Sub-Category - Q2 Performance Sep '23,PVs - Utility Vehicles - Q2 Domestic Sales,229.53,222.62,269.81,367.60,517.90,639.55,In '000
5,Passenger Vehicle: Sub-Category - Q2 Performance Sep '23,PVs - Vans - Q2 Domestic Sales,55.31,30.30,30.11,29.90,39.90,38.14,In '000
6,Commercial Vehicles: Sub-Category - Q2 Performance Sep '23,CVs - LCV - Q2 Domestic Sales,155.45,119.16,108.97,112.77,152.23,154.13,In '000
6,Commercial Vehicles: Sub-Category - Q2 Performance Sep '23,CVs - M&HCV - Q2 Domestic Sales,101.63,48.02,24.56,53.48,79.76,93.80,In '000
7,Commercial Vehicles- Passengers & Goods - Q2 Performance Sep '23,LCV Goods - Q2 Domestic Sales ,143.60,108.68,105.21,107.58,141.64,140.99,In '000
7,Commercial Vehicles- Passengers & Goods - Q2 Performance Sep '23,LCV Passenger - Q2 Domestic Sales ,11.86,10.47,3.76,5.19,10.60,13.14,In '000
7,Commercial Vehicles- Passengers & Goods - Q2 Performance Sep '23,M&HCV Goods - Q2 Domestic Sales ,92.43,40.16,23.92,51.74,72.00,82.53,In '000
7,Commercial Vehicles- Passengers & Goods - Q2 Performance Sep '23,M&HCV Passenger - Q2 Domestic Sales ,9.20,7.86,0.64,1.74,7.76,11.26,In '000
8,Three Wheelers - Passenger & Goods - Q2 Performance Sep '23,Three Wheelers - Goods - Q2 Domestic Sales,31.38,26.86,20.15,23.50,22.56,28.66,In '000
8,Three Wheelers - Passenger & Goods - Q2 Performance Sep '23,Three Wheelers - Passenger - Q2 Domestic Sales,161.22,154.04,26.54,47.43,97.75,166.56,In '000
9,Two Wheelers Sub-Category - Q2 Performance Sep '23,Two Wheelers - Mopeds - Q2 Performance,237.58,164.29,197.46,163.55,116.22,117.65,In '000
9,Two Wheelers Sub-Category - Q2 Performance Sep '23,Two Wheelers - Motorcycles - Q2 Performance,"3,718.74","2,915.13","3,145.11","2,611.18","3,001.49","2,913.78",In '000
9,Two Wheelers Sub-Category - Q2 Performance Sep '23,Two Wheelers - Scooters - Q2 Performance,"1,934.83","1,603.16","1,347.34","1,361.76","1,556.22","1,567.02",In '000
10,Q2 Export Performance Sep '23,Commercial Vehicle Exports (Q2),27.93,18.98,9.67,22.87,22.68,17.24,In '000
10,Q2 Export Performance Sep '23,Passenger Vehicle Exports (Q2),182.79,192.19,111.54,157.55,160.39,184.60,In '000
10,Q2 Export Performance Sep '23,Three Wheeler Exports (Q2),146.18,131.21,102.14,120.43,114.89,81.79,In '000
10,Q2 Export Performance Sep '23,Two Wheeler Exports (Q2),864.69,908.37,774.86,"1,108.16",956.25,894.59,In '000
11,Challenges With Entry Level Sep '23,Mini/Micro Cars (Less than 3.6 mm) - Q2,137.81,49.66,75.41,64.05,77.10,34.54,In '000
11,Challenges With Entry Level Sep '23,Mopeds - Q2,237.58,164.29,197.46,163.55,116.22,117.65,In '000
11,Challenges With Entry Level Sep '23,Motorcycles upto 110 cc - Q2,"2,306.52","1,615.92","1,697.03","1,520.10","1,496.79","1,413.64",In '000
11,Challenges With Entry Level Sep '23,Scooters upto 125 cc - Q2,"1,924.48","1,598.60","1,344.10","1,331.83","1,469.65","1,445.46",In '000
13,Passenger Vehicle: Sub-Category - H1 Performance Sep '23,PVs - Passenger Cars - H1 Domestic Sales,"1,169.50",815.21,506.37,681.13,880.02,810.22,In '000
13,Passenger Vehicle: Sub-Category - H1 Performance Sep '23,PVs - Utility Vehicles - H1 Domestic Sales,464.39,446.84,337.83,653.69,982.45,"1,186.16",In '000
13,Passenger Vehicle: Sub-Category - H1 Performance Sep '23,PVs - Vans - H1 Domestic Sales,110.39,71.25,35.77,52.89,74.33,73.79,In '000
14,Commercial Vehicles: Sub-Category - H1 Performance Sep '23,LCV - H1 Domestic Sales,296.52,253.13,136.21,189.41,300.86,293.40,In '000
14,Commercial Vehicles: Sub-Category - H1 Performance Sep '23,M&HCV - H1 Domestic Sales,190.80,122.35,28.96,82.64,155.62,171.57,In '000
15,Commercial Vehicles- Passengers & Goods - H1 Performance Sep '23,LCV Goods - H1 Domestic Sales,268.44,226.74,131.58,179.93,278.68,265.82,In '000
15,Commercial Vehicles- Passengers & Goods - H1 Performance Sep '23,LCV Passenger - H1 Domestic Sales,28.08,26.39,4.62,9.48,22.18,27.58,In '000
15,Commercial Vehicles- Passengers & Goods - H1 Performance Sep '23,M&HCV Goods - H1 Domestic Sales,171.09,104.17,28.10,79.81,139.98,149.37,In '000
15,Commercial Vehicles- Passengers & Goods - H1 Performance Sep '23,M&HCV Passenger - H1 Domestic Sales,19.71,18.18,0.86,2.83,15.64,22.20,In '000
16,Three Wheelers - Passenger & Goods - H1 Performance Sep '23,Three Wheelers - Goods - H1 Domestic Sales,62.30,57.31,25.99,32.22,44.63,51.44,In '000
16,Three Wheelers - Passenger & Goods - H1 Performance Sep '23,Three Wheelers - Passenger - H1 Domestic Sales,291.98,273.39,33.46,63.24,151.98,288.24,In '000
17,Two Wheelers Sub-Category - H1 Performance Sep '23,Two Wheelers - Mopeds - H1 Performance,445.15,332.28,251.17,232.56,227.62,222.91,In '000
17,Two Wheelers Sub-Category - H1 Performance Sep '23,Two Wheelers - Motorcycles - H1 Performance,"7,370.29","6,246.00","4,046.86","4,351.48","5,406.72","5,651.13",In '000
17,Two Wheelers Sub-Category - H1 Performance Sep '23,Two Wheelers - Scooters - H1 Performance,"3,753.06","3,117.36","1,686.35","1,966.05","2,764.13","2,865.37",In '000
18,H1 Export Performance Sep '23,Commercial Vehicle Exports (H1),52.32,30.64,13.54,38.87,42.31,31.86,In '000
18,H1 Export Performance Sep '23,Passenger Vehicle Exports (H1),349.95,365.25,155.15,284.63,320.51,336.75,In '000
18,H1 Export Performance Sep '23,Three-Wheeler Exports (H1),290.02,256.39,152.77,258.01,212.13,155.15,In '000
18,H1 Export Performance Sep '23,Two-Wheeler Exports (H1),"1,723.28","1,793.09","1,112.84","2,245.33","2,104.84","1,685.91",In '000
