Slide_No,Chart_Title,Variable_Column,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Unit
3,Domestic Sales - December Performance Dec '23,Passenger Vehicle - December Performance,238.75,222.73,253.00,219.42,235.31,242.92,In '000
3,Domestic Sales - December Performance Dec '23,Three Wheeler - December Performance,43.65,53.80,22.48,28.18,38.69,50.54,In '000
3,Domestic Sales - December Performance Dec '23,Two Wheeler - December Performance,"1,259.01","1,050.04","1,127.92","1,015.94","1,045.05","1,211.97",In '000
4,Domestic Sales - Q3(Oct-Dec) Performance Dec '23,Commercial Vehicle - Q3 Performance,235.94,195.21,193.03,194.71,227.11,235.17,In '000
4,Domestic Sales - Q3(Oct-Dec) Performance Dec '23,Passenger Vehicle - Q3 Performance,788.98,784.62,897.91,761.12,934.96,"1,012.28",In '000
4,Domestic Sales - Q3(Oct-Dec) Performance Dec '23,Three Wheeler - Q3 Performance,166.53,176.56,73.23,82.55,138.51,187.22,In '000
4,Domestic Sales - Q3(Oct-Dec) Performance Dec '23,Two Wheeler - Q3 Performance,"4,958.29","4,218.16","4,782.11","3,630.12","3,859.72","4,731.16",In '000
5,Monthly Domestic Sales Cumulative -  Dec '23,Passenger Vehicle,"2,533.26","2,117.92","1,777.87","2,144.89","2,871.70","3,083.24",In '000
5,Monthly Domestic Sales Cumulative -  Dec '23,Three Wheeler,520.81,507.25,132.69,178.00,335.12,526.90,In '000
5,Monthly Domestic Sales Cumulative -  Dec '23,Two Wheeler,"16,526.78","13,913.80","10,767.18","10,180.22","12,257.49","13,470.57",In '000
6,Domestic Sales - CY(Jan-Dec) Performance Dec '23,Commercial Vehicle - CY(Jan-Dec) Performance,nan,854.74,505.10,677.12,933.40,979.02,In '000
6,Domestic Sales - CY(Jan-Dec) Performance Dec '23,Passenger Vehicle -CY(Jan-Dec) Performance,nan,"2,962.05","2,433.47","3,082.42","3,792.44","4,100.80",In '000
6,Domestic Sales - CY(Jan-Dec) Performance Dec '23,Three Wheeler - CY(Jan-Dec) Performance,nan,687.45,262.50,264.76,418.51,680.55,In '000
6,Domestic Sales - CY(Jan-Dec) Performance Dec '23,Two Wheeler - CY(Jan-Dec) Performance,nan,"18,566.86","14,269.82","14,533.82","15,647.97","17,075.16",In '000
7,Passenger Vehicle: Sub-Category - Q3 Performance Dec '23,PVs - Passenger Cars - Q3 Domestic Sales,520.34,476.02,521.73,348.64,419.88,344.17,In '000
7,Passenger Vehicle: Sub-Category - Q3 Performance Dec '23,PVs - Utility Vehicles - Q3 Domestic Sales,217.86,278.81,339.28,382.32,487.14,632.53,In '000
7,Passenger Vehicle: Sub-Category - Q3 Performance Dec '23,PVs - Vans - Q3 Domestic Sales,50.77,29.79,36.90,30.17,27.94,35.59,In '000
8,Commercial Vehicles: Sub-Category - Q3 Performance Dec '23,CVs - LCV - Q3 Domestic Sales,148.43,141.67,141.84,130.74,141.43,143.80,In '000
8,Commercial Vehicles: Sub-Category - Q3 Performance Dec '23,CVs - M&HCV - Q3 Domestic Sales,87.52,53.54,51.19,63.96,85.68,91.37,In '000
9,Commercial Vehicles- Passengers & Goods - Q3 Performance Dec '23,LCV Goods - Q3 Domestic Sales ,140.51,132.42,139.04,127.21,133.34,134.94,In '000
9,Commercial Vehicles- Passengers & Goods - Q3 Performance Dec '23,LCV Passenger - Q3 Domestic Sales ,7.91,9.25,2.80,3.53,8.09,8.85,In '000
9,Commercial Vehicles- Passengers & Goods - Q3 Performance Dec '23,M&HCV Goods - Q3 Domestic Sales ,80.04,42.51,49.47,60.35,77.29,80.64,In '000
9,Commercial Vehicles- Passengers & Goods - Q3 Performance Dec '23,M&HCV Passenger - Q3 Domestic Sales ,7.48,11.02,1.72,3.62,8.39,10.72,In '000
10,Three Wheelers - Passenger & Goods - Q3 Performance Dec '23,Three Wheelers - Goods - Q3 Domestic Sales,30.11,29.68,28.96,22.30,27.24,30.90,In '000
10,Three Wheelers - Passenger & Goods - Q3 Performance Dec '23,Three Wheelers - Passenger - Q3 Domestic Sales,136.42,146.88,44.27,60.25,111.27,156.32,In '000
11,Two Wheelers Sub-Category - Q3 Performance Dec '23,Two Wheelers - Mopeds - Q3 Performance,216.78,163.39,210.94,131.31,105.06,134.93,In '000
11,Two Wheelers Sub-Category - Q3 Performance Dec '23,Two Wheelers - Motorcycles - Q3 Performance,"3,170.45","2,708.24","3,153.69","2,444.41","2,532.78","3,092.04",In '000
11,Two Wheelers Sub-Category - Q3 Performance Dec '23,Two Wheelers - Scooters - Q3 Performance,"1,571.06","1,346.52","1,417.48","1,054.40","1,221.87","1,504.20",In '000
12,Q3 Export Performance Dec '23,Commercial Vehicle Exports (Q3),23.29,15.73,16.76,26.07,18.64,18.91,In '000
12,Q3 Export Performance Dec '23,Passenger Vehicle Exports (Q3),160.35,175.02,136.02,139.36,170.46,169.46,In '000
12,Q3 Export Performance Dec '23,Three Wheeler Exports (Q3),138.44,133.84,118.56,128.04,91.37,74.71,In '000
12,Q3 Export Performance Dec '23,Two Wheeler Exports (Q3),789.91,891.74,"1,064.27","1,095.90",846.51,857.00,In '000
13,Passenger Vehicle: Sub-Category - CY(Jan-Dec) Performance Dec '23,PVs - Passenger Cars - CY(Jan-Dec) Domestic Sales,nan,"1,819.88","1,432.30","1,543.53","1,737.17","1,601.87",In '000
13,Passenger Vehicle: Sub-Category - CY(Jan-Dec) Performance Dec '23,PVs - Utility Vehicles - CY(Jan-Dec) Domestic Sales,nan,984.87,897.42,"1,419.65","1,922.80","2,352.81",In '000
13,Passenger Vehicle: Sub-Category -CY(Jan-Dec) Performance Dec '23,PVs - Vans - CY(Jan-Dec) Domestic Sales,nan,157.30,103.75,119.24,132.47,146.12,In '000
14,Commercial Vehicles: Sub-Category - CY(Jan-Dec) Performance Dec '23,LCV - CY(Jan-Dec) Domestic Sales,nan,566.44,376.41,449.98,598.13,598.37,In '000
14,Commercial Vehicles: Sub-Category - CY(Jan-Dec) Performance Dec '23,M&HCV - CY(Jan-Dec) Domestic Sales,nan,288.30,128.69,227.14,335.27,380.65,In '000
15,Commercial Vehicles- Passengers & Goods - CY(Jan-Dec) Performance Dec '23,LCV Goods - CY(Jan-Dec) Domestic Sales,nan,514.62,358.81,432.30,560.91,547.90,In '000
15,Commercial Vehicles- Passengers & Goods - CY(Jan-Dec) Performance Dec '23,LCV Passenger - CY(Jan-Dec) Domestic Sales,nan,51.82,17.60,17.68,37.22,50.47,In '000
15,Commercial Vehicles- Passengers & Goods - CY(Jan-Dec) Performance Dec '23,M&HCV Goods - CY(Jan-Dec) Domestic Sales,nan,246.68,115.31,215.95,305.88,333.34,In '000
15,Commercial Vehicles- Passengers & Goods - CY(Jan-Dec) Performance Dec '23,M&HCV Passenger - CY(Jan-Dec) Domestic Sales,nan,41.62,13.39,11.19,29.39,47.31,In '000
16,Three Wheelers - Passenger & Goods - CY(Jan-Dec) Performance Dec '23,Three Wheelers - Goods - CY(Jan-Dec) Domestic Sales,nan,123.20,79.50,83.59,94.80,111.50,In '000
16,Three Wheelers - Passenger & Goods - CY(Jan-Dec) Performance Dec '23,Three Wheelers - Passenger - CY(Jan-Dec) Domestic Sales,nan,564.25,183.00,181.16,323.71,569.05,In '000
17,Two Wheelers Sub-Category - CY(Jan-Dec) Performance Dec '23,Two Wheelers - Mopeds - CY(Jan-Dec) Performance,nan,713.98,603.24,519.01,441.97,466.72,In '000
17,Two Wheelers Sub-Category - CY(Jan-Dec) Performance Dec '23,Two Wheelers - Motorcycles - CY(Jan-Dec) Performance,nan,"12,011.69","9,459.97","9,616.58","10,127.79","11,034.17",In '000
17,Two Wheelers Sub-Category - CY(Jan-Dec) Performance Dec '23,Two Wheelers - Scooters - CY(Jan-Dec) Performance,nan,"5,841.18","4,205.63","4,398.23","5,078.22","5,574.27",In '000
18,CY(Jan-Dec) Export Performance Dec '23,Commercial Vehicle Exports - CY(Jan-Dec),nan,70.70,44.30,84.98,88.30,68.47,In '000
18,CY(Jan-Dec) Export Performance Dec '23,Passenger Vehicle Exports - CY(Jan-Dec),nan,706.16,413.02,537.22,644.84,678.07,In '000
18,CY(Jan-Dec) Export Performance Dec '23,Three-Wheeler Exports - CY(Jan-Dec),nan,529.45,382.76,507.65,417.18,291.92,In '000
