Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Delhi NCR,Connaught Place,Connaught Place,245,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Sector 29,Sector 29,137,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,"Sector 18, Noida","Sector 18, Noida",202,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Rajouri Garden,Rajouri Garden,284,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Saket,Saket,304,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Dlf Cyber City,Dlf Cyber City,149,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Golf Course Road,Golf Course Road,154,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Dlf Phase 4,Dlf Phase 4,214,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Delhi University-Gtb Nagar,Delhi University-Gtb Nagar,140,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Indirapuram,Indirapuram,700,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Vasant Kunj,Vasant Kunj,284,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Greater Kailash 1 (Gk1),Greater Kailash 1 (Gk1),90,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Chanakyapuri,Chanakyapuri,100,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Rohini,Rohini,1010,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Janpath,Janpath,43,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Hauz Khas Village,Hauz Khas Village,47,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,"Sector 38, Noida","Sector 38, Noida",79,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Janakpuri,Janakpuri,382,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Sector 50,Sector 50,206,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Mg Road,Mg Road,168,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Dlf Phase 3,Dlf Phase 3,372,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Punjabi Bagh,Punjabi Bagh,164,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Netaji Subhash Place,Netaji Subhash Place,97,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Malviya Nagar,Malviya Nagar,349,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Khan Market,Khan Market,52,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Karol Bagh,Karol Bagh,275,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Delhi NCR,Nehru Place,Nehru Place,89,Week 09-2023,2023-03-02,2023-03-02 08:50:53
