Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Delhi NCR,Connaught Place,Connaught Place,249,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Sector 29,Sector 29,143,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,"Sector 18, Noida","Sector 18, Noida",204,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Rajouri Garden,Rajouri Garden,292,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Saket,Saket,306,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Dlf Cyber City,Dlf Cyber City,152,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Golf Course Road,Golf Course Road,154,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Dlf Phase 4,Dlf Phase 4,221,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Delhi University-Gtb Nagar,Delhi University-Gtb Nagar,145,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Indirapuram,Indirapuram,708,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Vasant Kunj,Vasant Kunj,288,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Greater Kailash 1 (Gk1),Greater Kailash 1 (Gk1),93,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Chanakyapuri,Chanakyapuri,101,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Rohini,Rohini,1035,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Janpath,Janpath,43,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Hauz Khas Village,Hauz Khas Village,48,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,"Sector 38, Noida","Sector 38, Noida",80,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Janakpuri,Janakpuri,389,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Sector 50,Sector 50,209,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Delhi NCR,Mg Road,Mg Road,171,Week 14-2023,2023-04-07,2023-04-07 22:38:18
