Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Kasganj,Kasganj,Kasganj,42,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Hathras,Hathras,Hathras,48,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Hapur,Hapur,Hapur,124,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Etah,Etah,Etah,33,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Baghpat,Baghpat,Baghpat,25,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Namakkal,Namakkal,Namakkal,107,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Hanumangarh,Hanumangarh,Hanumangarh,83,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Samrala,Samrala,Samrala,17,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Phillaur,Phillaur,Phillaur,37,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Nakodar,Nakodar,Nakodar,40,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Jagraon,Jagraon,Jagraon,45,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Fazilka,Fazilka,Fazilka,40,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Samba,Samba,Samba,11,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Kathua,Kathua,Kathua,25,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Phaltan,Phaltan,Phaltan,74,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Pandharpur,Pandharpur,Pandharpur,88,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Osmanabad,Osmanabad,Osmanabad,105,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Manmad,Manmad,Manmad,24,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Malegaon,Malegaon,Malegaon,111,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Karad,Karad,Karad,245,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Chalisgaon,Chalisgaon,Chalisgaon,52,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bhusawal,Bhusawal,Bhusawal,173,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Barshi,Barshi,Barshi,84,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Amalner,Amalner,Amalner,42,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Vidisha,Vidisha,Vidisha,77,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Singrauli,Singrauli,Singrauli,31,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Singrauli,Waidhan,Waidhan,27,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Seoni,Seoni,Seoni,45,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Sehore,Sehore,Sehore,28,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Khargone,Khargone,Khargone,61,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Itarsi,Itarsi,Itarsi,58,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Dhar,Dhar,Dhar,58,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Damoh,Damoh,Damoh,70,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Chhatarpur,Chhatarpur,Chhatarpur,85,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Gudivada,Gudivada,Gudivada,45,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Chirala,Chirala,Chirala,35,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Burhanpur,Burhanpur,Burhanpur,57,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bina,Bina,Bina,38,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Sultanpur,Sultanpur,Sultanpur,61,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Sitapur,Sitapur,Sitapur,99,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Thodupuzha,Thodupuzha,Thodupuzha,61,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Pathanamthitta,Pathanamthitta,Pathanamthitta,78,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bobbili,Bobbili,Bobbili,13,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Adoni,Adoni,Adoni,67,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Tanuku,Tanuku,Tanuku,98,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Kasaragod,Kasaragod,Kasaragod,29,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Beawar,Beawar,Beawar,83,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Chapra,Chhapra,Chhapra,58,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Behror,Behror,Behror,70,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Begusarai,Begusarai,Begusarai,95,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bundi,Bundi,Bundi,80,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Nathdwara,Nathdwara,Nathdwara,22,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Raniganj,Raniganj,Raniganj,38,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Amreli,Amreli,Amreli,17,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Ramgarh,Ramgarh,Ramgarh,74,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Jagdalpur,Jagdalpur,Jagdalpur,107,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Hazaribagh,Hazaribagh,Hazaribagh,136,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Muvattupuzha,Muvattupuzha,Muvattupuzha,83,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Modinagar,Modinagar,Modinagar,191,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Modinagar,Muradnagar,Muradnagar,79,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bahadurgarh,Bahadurgarh,Bahadurgarh,240,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Ambikapur,Ambikapur,Ambikapur,88,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Faizabad-Ayodhya ,Faizabad-Ayodhya,Faizabad-Ayodhya,201,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Chitradurga,Chitradurga,Chitradurga,90,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bidar,Bidar,Bidar,96,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Hosur,Hosur,Hosur,240,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Sangamner,Sangamner,Sangamner,139,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Sohna,Sohna,Sohna,33,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Narnaul,Narnaul,Narnaul,81,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Jhajjar,Jhajjar,Jhajjar,54,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Ichalkaranji,Ichalkaranji,Ichalkaranji,214,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Charkhi Dadri,Charkhi Dadri,Charkhi Dadri,54,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Jalna,Jalna,Jalna,197,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Kundapura-Koteshwar,Kundapura-Koteshwar,Kundapura-Koteshwar,38,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Farrukhabad,Farrukhabad,Farrukhabad,89,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Farrukhabad,Fatehgarh,Fatehgarh,24,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Moodbidri,Moodbidri,Moodbidri,19,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Karwar,Karwar,Karwar,63,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Baddi,Baddi,Baddi,90,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Baddi,Shivalik Nagar,Shivalik Nagar,16,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Baddi,Nalagarh,Nalagarh,15,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Ambur,Ambur,Ambur,48,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Rudrapur,Rudrapur,Rudrapur,201,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Porbandar,Porbandar,Porbandar,107,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Jhunjhunu,Jhunjhunu,Jhunjhunu,110,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Churu,Churu,Churu,25,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Sikar,Sikar,Sikar,320,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Hoshangabad,Hoshangabad,Hoshangabad,80,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Hampi-Hospet,Hampi-Hospet,Hampi-Hospet,90,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Faridkot,Faridkot,Faridkot,45,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Khanna,Khanna,Khanna,144,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Khanna,Mandi Gobindgarh,Mandi Gobindgarh,43,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Abohar,Abohar,Abohar,149,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Kaithal,Kaithal,Kaithal,160,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Purnea,Purnea,Purnea,244,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Deoghar,Deoghar,Deoghar,159,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Palwal,Palwal,Palwal,123,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Chikmagalur,Chikmagalur,Chikmagalur,95,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Kottayam,Kottayam,Kottayam,302,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Kottayam,Pala,Pala,25,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Firozabad,Firozabad,Firozabad,123,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Shahjahanpur,Shahjahanpur,Shahjahanpur,192,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Nadiad,Nadiad,Nadiad,174,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Unnao,Unnao,Unnao,160,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Hassan,Hassan,Hassan,134,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bhatkal,Bhatkal,Bhatkal,24,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Narasaraopet,Narasaraopet,Narasaraopet,76,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Shivpuri,Shivpuri,Shivpuri,64,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Mehsana,Mehsana,Mehsana,225,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Mehsana,Visanagar,Visanagar,54,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bulandshahr,Bulandshahr,Bulandshahr,111,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Yavatmal,Yavatmal,Yavatmal,129,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Tumkur,Tumkur,Tumkur,190,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Tezpur,Tezpur,Tezpur,121,Week 11-2023,2023-03-13,2023-03-13 10:58:24
